millis,type,message
995476068,INFO,powerData | solI: 0.00
995476086,INFO,powerData | battV: 4.07
995476107,INFO,powerData | battI: -0.05
995476125,INFO,powerData | busV: 4.06
995476150,INFO,powerData | busI: 0.04
995476170,INFO,powerData | BQ status reg: 0
995476189,INFO,powerData | Fault reg: 0
995476209,INFO,powerData | Charge status: 0
995476228,INFO,powerData | DPM status: 0
995516542,INFO,Starting analysis m: 5061 t: 1 e: 20
995516817,WARN,Disabling MessageSender transmissions
995517956,INFO,Completed analysis m: 5061 t: 1 e: 20
995517978,INFO,Enabling MessageSender transmissions
995567611,INFO,Starting analysis m: 5061 t: 1 e: 21
995567894,WARN,Disabling MessageSender transmissions
995568994,INFO,Completed analysis m: 5061 t: 1 e: 21
995569016,INFO,Enabling MessageSender transmissions
995618674,INFO,Starting analysis m: 5061 t: 1 e: 22
995618949,WARN,Disabling MessageSender transmissions
995620089,INFO,Completed analysis m: 5061 t: 1 e: 22
995620114,INFO,Enabling MessageSender transmissions
995669739,INFO,Starting analysis m: 5061 t: 1 e: 23
995670013,WARN,Disabling MessageSender transmissions
995671142,INFO,Completed analysis m: 5061 t: 1 e: 23
995671164,INFO,Enabling MessageSender transmissions
995720814,INFO,Starting analysis m: 5061 t: 1 e: 24
995721095,WARN,Disabling MessageSender transmissions
995722211,INFO,Completed analysis m: 5061 t: 1 e: 24
995722233,INFO,Enabling MessageSender transmissions
995771871,INFO,Starting analysis m: 5061 t: 1 e: 25
995772147,WARN,Disabling MessageSender transmissions
995773274,INFO,Completed analysis m: 5061 t: 1 e: 25
995773296,INFO,Enabling MessageSender transmissions
995776047,INFO,powerData | solV: 0.12
995776071,INFO,powerData | solI: 0.00
995776092,INFO,powerData | battV: 4.07
995776110,INFO,powerData | battI: -0.05
995776131,INFO,powerData | busV: 4.06
995776149,INFO,powerData | busI: 0.04
995776169,INFO,powerData | BQ status reg: 0
995776188,INFO,powerData | Fault reg: 0
995776208,INFO,powerData | Charge status: 0
995776227,INFO,powerData | DPM status: 0
995822923,INFO,Starting analysis m: 5061 t: 1 e: 26
995823198,WARN,Disabling MessageSender transmissions
995824320,INFO,Completed analysis m: 5061 t: 1 e: 26
995824349,INFO,Enabling MessageSender transmissions
995873992,INFO,Starting analysis m: 5061 t: 1 e: 27
995874275,WARN,Disabling MessageSender transmissions
995875389,INFO,Completed analysis m: 5061 t: 1 e: 27
995875411,INFO,Enabling MessageSender transmissions
995925063,INFO,Starting analysis m: 5061 t: 1 e: 28
995925338,WARN,Disabling MessageSender transmissions
995926460,INFO,Completed analysis m: 5061 t: 1 e: 28
995926482,INFO,Enabling MessageSender transmissions
995976122,INFO,Starting analysis m: 5061 t: 1 e: 29
995976400,WARN,Disabling MessageSender transmissions
995977527,INFO,Completed analysis m: 5061 t: 1 e: 29
995977551,INFO,Enabling MessageSender transmissions
996027189,INFO,Starting analysis m: 5061 t: 1 e: 30
996027523,WARN,Disabling MessageSender transmissions
996028651,INFO,Completed analysis m: 5061 t: 1 e: 30
996028676,INFO,Enabling MessageSender transmissions
996076050,INFO,powerData | solV: 0.30
996076072,INFO,powerData | solI: 0.00
996076093,INFO,powerData | battV: 4.07
996076115,INFO,powerData | battI: -0.05
996076136,INFO,powerData | busV: 4.06
996076154,INFO,powerData | busI: 0.04
996076175,INFO,powerData | BQ status reg: 0
996076195,INFO,powerData | Fault reg: 0
996076214,INFO,powerData | Charge status: 0
996076234,INFO,powerData | DPM status: 0
996078268,INFO,Starting analysis m: 5061 t: 1 e: 31
996078542,WARN,Disabling MessageSender transmissions
996079656,INFO,Completed analysis m: 5061 t: 1 e: 31
996079689,INFO,Enabling MessageSender transmissions
996129318,INFO,Starting analysis m: 5061 t: 1 e: 32
996129593,WARN,Disabling MessageSender transmissions
996131604,INFO,Completed analysis m: 5061 t: 1 e: 32
996131629,INFO,Processing stats m: 5061 t: 1 e: 33
996136925,INFO,Finished collection for m: 5061 in 1748
996136947,INFO,Submitting 48 byte / 378 bit message: 
996136980,DEBUG,Message submitted to Q at index 0 count_id: 240
996137003,DEBUG,1 messages in Q
996137041,INFO,Enabling MessageSender transmissions
996137068,DEBUG,Sending Q index: 0 id: 240
996147941,INFO,Send complete: Q index: 0 count_id 240
996188725,INFO,Starting collection m: 5062 t: 0 at 1610722315.20
996290498,INFO,Starting analysis m: 5062 t: 0 e: 0
996290781,WARN,Disabling MessageSender transmissions
996291713,INFO,Completed analysis m: 5062 t: 0 e: 0
996291735,INFO,Enabling MessageSender transmissions
996341561,INFO,Starting analysis m: 5062 t: 0 e: 1
996341833,WARN,Disabling MessageSender transmissions
996342956,INFO,Completed analysis m: 5062 t: 0 e: 1
996342984,INFO,Enabling MessageSender transmissions
996376057,INFO,powerData | solV: 0.66
996376080,INFO,powerData | solI: 0.00
996376098,INFO,powerData | battV: 4.06
996376119,INFO,powerData | battI: -0.06
996376137,INFO,powerData | busV: 4.06
996376158,INFO,powerData | busI: 0.05
996376176,INFO,powerData | BQ status reg: 0
996376197,INFO,powerData | Fault reg: 0
996376217,INFO,powerData | Charge status: 0
996376238,INFO,powerData | DPM status: 0
996392617,INFO,Starting analysis m: 5062 t: 0 e: 2
996392896,WARN,Disabling MessageSender transmissions
996394022,INFO,Completed analysis m: 5062 t: 0 e: 2
996394045,INFO,Enabling MessageSender transmissions
996443682,INFO,Starting analysis m: 5062 t: 0 e: 3
996443965,WARN,Disabling MessageSender transmissions
996445081,INFO,Completed analysis m: 5062 t: 0 e: 3
996445104,INFO,Enabling MessageSender transmissions
996494751,INFO,Starting analysis m: 5062 t: 0 e: 4
996495024,WARN,Disabling MessageSender transmissions
996496152,INFO,Completed analysis m: 5062 t: 0 e: 4
996496179,INFO,Enabling MessageSender transmissions
996545816,INFO,Starting analysis m: 5062 t: 0 e: 5
996546144,WARN,Disabling MessageSender transmissions
996547262,INFO,Completed analysis m: 5062 t: 0 e: 5
996547284,INFO,Enabling MessageSender transmissions
996596883,INFO,Starting analysis m: 5062 t: 0 e: 6
996597166,WARN,Disabling MessageSender transmissions
996598280,INFO,Completed analysis m: 5062 t: 0 e: 6
996598304,INFO,Enabling MessageSender transmissions
996647948,INFO,Starting analysis m: 5062 t: 0 e: 7
996648226,WARN,Disabling MessageSender transmissions
996649361,INFO,Completed analysis m: 5062 t: 0 e: 7
996649383,INFO,Enabling MessageSender transmissions
996676065,INFO,powerData | solV: 1.24
996676087,INFO,powerData | solI: 0.00
996676106,INFO,powerData | battV: 4.06
996676126,INFO,powerData | battI: -0.07
996676145,INFO,powerData | busV: 4.06
996676165,INFO,powerData | busI: 0.06
996676186,INFO,powerData | BQ status reg: 0
996676206,INFO,powerData | Fault reg: 0
996676231,INFO,powerData | Charge status: 0
996676249,INFO,powerData | DPM status: 0
996699013,INFO,Starting analysis m: 5062 t: 0 e: 8
996699287,WARN,Disabling MessageSender transmissions
996700424,INFO,Completed analysis m: 5062 t: 0 e: 8
996700446,INFO,Enabling MessageSender transmissions
996750082,INFO,Starting analysis m: 5062 t: 0 e: 9
996750364,WARN,Disabling MessageSender transmissions
996751480,INFO,Completed analysis m: 5062 t: 0 e: 9
996751503,INFO,Enabling MessageSender transmissions
996801138,INFO,Starting analysis m: 5062 t: 0 e: 10
996801413,WARN,Disabling MessageSender transmissions
996802529,INFO,Completed analysis m: 5062 t: 0 e: 10
996802551,INFO,Enabling MessageSender transmissions
996852209,INFO,Starting analysis m: 5062 t: 0 e: 11
996852484,WARN,Disabling MessageSender transmissions
996853612,INFO,Completed analysis m: 5062 t: 0 e: 11
996853635,INFO,Enabling MessageSender transmissions
996903270,INFO,Starting analysis m: 5062 t: 0 e: 12
996903553,WARN,Disabling MessageSender transmissions
996904675,INFO,Completed analysis m: 5062 t: 0 e: 12
996904697,INFO,Enabling MessageSender transmissions
996954335,INFO,Starting analysis m: 5062 t: 0 e: 13
996954609,WARN,Disabling MessageSender transmissions
996955734,INFO,Completed analysis m: 5062 t: 0 e: 13
996955758,INFO,Enabling MessageSender transmissions
996976074,INFO,powerData | solV: 2.29
996976097,INFO,powerData | solI: 0.00
996976115,INFO,powerData | battV: 4.07
996976136,INFO,powerData | battI: -0.05
996976160,INFO,powerData | busV: 4.06
996976179,INFO,powerData | busI: 0.04
996976199,INFO,powerData | BQ status reg: 0
996976220,INFO,powerData | Fault reg: 0
996976238,INFO,powerData | Charge status: 0
996976259,INFO,powerData | DPM status: 0
997005398,INFO,Starting analysis m: 5062 t: 0 e: 14
997005672,WARN,Disabling MessageSender transmissions
997006794,INFO,Completed analysis m: 5062 t: 0 e: 14
997006817,INFO,Enabling MessageSender transmissions
997056473,INFO,Starting analysis m: 5062 t: 0 e: 15
997056759,WARN,Disabling MessageSender transmissions
997057875,INFO,Completed analysis m: 5062 t: 0 e: 15
997057898,INFO,Enabling MessageSender transmissions
997107529,INFO,Starting analysis m: 5062 t: 0 e: 16
997107804,WARN,Disabling MessageSender transmissions
997108930,INFO,Completed analysis m: 5062 t: 0 e: 16
997108953,INFO,Enabling MessageSender transmissions
997158596,INFO,Starting analysis m: 5062 t: 0 e: 17
997158868,WARN,Disabling MessageSender transmissions
997160011,INFO,Completed analysis m: 5062 t: 0 e: 17
997160040,INFO,Enabling MessageSender transmissions
997209659,INFO,Starting analysis m: 5062 t: 0 e: 18
997209942,WARN,Disabling MessageSender transmissions
997211076,INFO,Completed analysis m: 5062 t: 0 e: 18
997211099,INFO,Enabling MessageSender transmissions
997260734,INFO,Starting analysis m: 5062 t: 0 e: 19
997261008,WARN,Disabling MessageSender transmissions
997262135,INFO,Completed analysis m: 5062 t: 0 e: 19
997262157,INFO,Enabling MessageSender transmissions
997276084,INFO,powerData | solV: 3.14
997276106,INFO,powerData | solI: 0.00
997276125,INFO,powerData | battV: 4.06
997276143,INFO,powerData | battI: -0.06
997276164,INFO,powerData | busV: 4.06
997276182,INFO,powerData | busI: 0.05
997276203,INFO,powerData | BQ status reg: 0
997276223,INFO,powerData | Fault reg: 0
997276241,INFO,powerData | Charge status: 0
997276262,INFO,powerData | DPM status: 0
997311789,INFO,Starting analysis m: 5062 t: 0 e: 20
997312061,WARN,Disabling MessageSender transmissions
997313196,INFO,Completed analysis m: 5062 t: 0 e: 20
997313218,INFO,Enabling MessageSender transmissions
997362862,INFO,Starting analysis m: 5062 t: 0 e: 21
997363144,WARN,Disabling MessageSender transmissions
997364242,INFO,Completed analysis m: 5062 t: 0 e: 21
997364264,INFO,Enabling MessageSender transmissions
997413931,INFO,Starting analysis m: 5062 t: 0 e: 22
997414203,WARN,Disabling MessageSender transmissions
997415327,INFO,Completed analysis m: 5062 t: 0 e: 22
997415350,INFO,Enabling MessageSender transmissions
997464991,INFO,Starting analysis m: 5062 t: 0 e: 23
997465266,WARN,Disabling MessageSender transmissions
997466390,INFO,Completed analysis m: 5062 t: 0 e: 23
997466413,INFO,Enabling MessageSender transmissions
997516054,INFO,Starting analysis m: 5062 t: 0 e: 24
997516337,WARN,Disabling MessageSender transmissions
997517453,INFO,Completed analysis m: 5062 t: 0 e: 24
997517475,INFO,Enabling MessageSender transmissions
997567117,INFO,Starting analysis m: 5062 t: 0 e: 25
997567395,WARN,Disabling MessageSender transmissions
997568524,INFO,Completed analysis m: 5062 t: 0 e: 25
997568546,INFO,Enabling MessageSender transmissions
997576091,INFO,powerData | solV: 4.54
997576112,INFO,powerData | solI: 0.00
997576132,INFO,powerData | battV: 4.07
997576151,INFO,powerData | battI: -0.04
997576171,INFO,powerData | busV: 4.06
997576189,INFO,powerData | busI: 0.04
997576210,INFO,powerData | BQ status reg: 0
997576230,INFO,powerData | Fault reg: 0
997576251,INFO,powerData | Charge status: 0
997576273,INFO,powerData | DPM status: 0
997618176,INFO,Starting analysis m: 5062 t: 0 e: 26
997618450,WARN,Disabling MessageSender transmissions
997619582,INFO,Completed analysis m: 5062 t: 0 e: 26
997619605,INFO,Enabling MessageSender transmissions
997669253,INFO,Starting analysis m: 5062 t: 0 e: 27
997669535,WARN,Disabling MessageSender transmissions
997670666,INFO,Completed analysis m: 5062 t: 0 e: 27
997670690,INFO,Enabling MessageSender transmissions
997720320,INFO,Starting analysis m: 5062 t: 0 e: 28
997720600,WARN,Disabling MessageSender transmissions
997721735,INFO,Completed analysis m: 5062 t: 0 e: 28
997721757,INFO,Enabling MessageSender transmissions
997771376,INFO,Starting analysis m: 5062 t: 0 e: 29
997771651,WARN,Disabling MessageSender transmissions
997772777,INFO,Completed analysis m: 5062 t: 0 e: 29
997772800,INFO,Enabling MessageSender transmissions
997822437,INFO,Starting analysis m: 5062 t: 0 e: 30
997822771,WARN,Disabling MessageSender transmissions
997823887,INFO,Completed analysis m: 5062 t: 0 e: 30
997823909,INFO,Enabling MessageSender transmissions
997873512,INFO,Starting analysis m: 5062 t: 0 e: 31
997873786,WARN,Disabling MessageSender transmissions
997874931,INFO,Completed analysis m: 5062 t: 0 e: 31
997874954,INFO,Enabling MessageSender transmissions
997876094,INFO,powerData | solV: 4.96
997876117,INFO,powerData | solI: 0.00
997876135,INFO,powerData | battV: 4.07
997876156,INFO,powerData | battI: -0.04
997876174,INFO,powerData | busV: 4.06
997876199,INFO,powerData | busI: 0.04
997876219,INFO,powerData | BQ status reg: 0
997876238,INFO,powerData | Fault reg: 16
997876258,INFO,powerData | Charge status: 0
997876279,INFO,powerData | DPM status: 0
997924571,INFO,Starting analysis m: 5062 t: 0 e: 32
997924843,WARN,Disabling MessageSender transmissions
997925971,INFO,Completed analysis m: 5062 t: 0 e: 32
997925994,INFO,Processing stats m: 5062 t: 0 e: 33
997931290,INFO,Enabling MessageSender transmissions
997983973,INFO,Starting collection m: 5062 t: 1 at 1610724115.20
998085740,INFO,Starting analysis m: 5062 t: 1 e: 0
998086021,WARN,Disabling MessageSender transmissions
998086950,INFO,Completed analysis m: 5062 t: 1 e: 0
998086973,INFO,Enabling MessageSender transmissions
998136803,INFO,Starting analysis m: 5062 t: 1 e: 1
998137079,WARN,Disabling MessageSender transmissions
998138198,INFO,Completed analysis m: 5062 t: 1 e: 1
998138220,INFO,Enabling MessageSender transmissions
998176102,INFO,powerData | solV: 5.19
998176124,INFO,powerData | solI: 0.00
998176147,INFO,powerData | battV: 4.06
998176167,INFO,powerData | battI: -0.06
998176186,INFO,powerData | busV: 4.06
998176206,INFO,powerData | busI: 0.05
998176231,INFO,powerData | BQ status reg: 0
998176251,INFO,powerData | Fault reg: 16
998176272,INFO,powerData | Charge status: 0
998176290,INFO,powerData | DPM status: 0
998187880,INFO,Starting analysis m: 5062 t: 1 e: 2
998188154,WARN,Disabling MessageSender transmissions
998189273,INFO,Completed analysis m: 5062 t: 1 e: 2
998189299,INFO,Enabling MessageSender transmissions
998238943,INFO,Starting analysis m: 5062 t: 1 e: 3
998239223,WARN,Disabling MessageSender transmissions
998240335,INFO,Completed analysis m: 5062 t: 1 e: 3
998240358,INFO,Enabling MessageSender transmissions
998290012,INFO,Starting analysis m: 5062 t: 1 e: 4
998290286,WARN,Disabling MessageSender transmissions
998291431,INFO,Completed analysis m: 5062 t: 1 e: 4
998291453,INFO,Enabling MessageSender transmissions
998341068,INFO,Starting analysis m: 5062 t: 1 e: 5
998341398,WARN,Disabling MessageSender transmissions
998342510,INFO,Completed analysis m: 5062 t: 1 e: 5
998342535,INFO,Enabling MessageSender transmissions
998392137,INFO,Starting analysis m: 5062 t: 1 e: 6
998392418,WARN,Disabling MessageSender transmissions
