GPS_Epoch_Time(s),lat(deg),lat(min*1e5),long(deg),long(min*1e5)
1610729440.80,37,5671688,-122,-4704576
1610729501.20,37,5671636,-122,-4704532
1610729561.60,37,5671660,-122,-4704550
1610729622.00,37,5671651,-122,-4704634
1610729682.40,37,5671610,-122,-4704660
1610729742.80,37,5671564,-122,-4704643
1610729803.20,37,5671683,-122,-4704671
1610729863.60,37,5671701,-122,-4704658
1610729924.00,37,5671694,-122,-4704752
1610729984.40,37,5671639,-122,-4704734
1610730044.80,37,5671702,-122,-4704659
1610730105.20,37,5671753,-122,-4704702
1610730165.60,37,5671740,-122,-4704724
1610730226.00,37,5671739,-122,-4704812
1610730286.40,37,5671783,-122,-4704826
1610730346.80,37,5671725,-122,-4704945
1610730407.20,37,5671757,-122,-4704795
1610730467.60,37,5671740,-122,-4704773
1610730528.00,37,5671694,-122,-4704720
1610730588.40,37,5671710,-122,-4704798
1610730648.80,37,5671673,-122,-4704777
1610730709.20,37,5671664,-122,-4704775
1610730769.60,37,5671678,-122,-4704757
1610730830.00,37,5671670,-122,-4704810
1610730890.40,37,5671664,-122,-4704891
1610730950.80,37,5671703,-122,-4704854
1610731011.20,37,5671704,-122,-4704963
1610731071.60,37,5671667,-122,-4705073
1610731132.00,37,5671738,-122,-4705111
1610731192.40,37,5671732,-122,-4705050
1610731252.80,37,5671811,-122,-4705044
1610731313.20,37,5671855,-122,-4705114
1610731373.60,37,5671851,-122,-4705013
1610731434.00,37,5671852,-122,-4705027
1610731494.40,37,5671844,-122,-4705050
1610731554.80,37,5671843,-122,-4705043
1610731615.20,37,5671889,-122,-4704988
1610731675.60,37,5671856,-122,-4704948
1610731736.00,37,5671818,-122,-4704932
1610731796.40,37,5671837,-122,-4704803
1610731856.80,37,5671785,-122,-4704723
1610731917.20,37,5671745,-122,-4704790
1610731977.60,37,5671781,-122,-4704743
1610732038.00,37,5671742,-122,-4704780
1610732098.40,37,5671726,-122,-4704607
1610732158.80,37,5671717,-122,-4704760
1610732219.20,37,5671734,-122,-4704697
1610732279.60,37,5671708,-122,-4704686
1610732339.60,37,5671736,-122,-4704789
1610732400.00,37,5671736,-122,-4704709
1610732460.40,37,5671745,-122,-4704782
1610732520.80,37,5671751,-122,-4704753
1610732581.20,37,5671727,-122,-4704762
1610732641.60,37,5671750,-122,-4704739
1610732702.00,37,5671751,-122,-4704796
1610732762.40,37,5671727,-122,-4704776
1610732822.80,37,5671763,-122,-4704717
1610732883.20,37,5671799,-122,-4704798
1610732943.60,37,5671811,-122,-4704812
1610733004.00,37,5671754,-122,-4704730
1610733064.40,37,5671766,-122,-4704832
1610733124.80,37,5671700,-122,-4704695
1610733185.20,37,5671710,-122,-4704688
1610733245.60,37,5671691,-122,-4704586
1610733306.00,37,5671634,-122,-4704627
1610733366.40,37,5671601,-122,-4704577
1610733426.80,37,5671615,-122,-4704599
1610733487.20,37,5671541,-122,-4704391
1610733547.60,37,5671540,-122,-4704447
1610733608.00,37,5671484,-122,-4704347
1610733668.40,37,5671436,-122,-4704361
1610733728.80,37,5671388,-122,-4704212
1610733789.20,37,5671384,-122,-4704168
1610733849.60,37,5671411,-122,-4704325
1610733910.00,37,5671441,-122,-4704274
1610733970.40,37,5671386,-122,-4704352
1610734030.80,37,5671371,-122,-4704380
1610734091.20,37,5671370,-122,-4704369
1610734151.60,37,5671376,-122,-4704411
1610734212.00,37,5671330,-122,-4704446
1610734272.40,37,5671326,-122,-4704315
1610734332.80,37,5671327,-122,-4704344
1610734393.20,37,5671366,-122,-4704285
1610734453.60,37,5671372,-122,-4704368
