millis,sst
1016223782,11.46
1016284168,11.47
1016344199,11.47
1016404234,11.48
1016464263,11.53
1016524298,11.55
1016584325,11.55
1016644368,11.55
1016704421,11.54
1016764852,11.50
1016824915,11.50
1016884953,11.53
1016945000,11.55
1017005037,11.57
1017065093,11.55
1017125130,11.55
1017185183,11.53
1017245227,11.53
1017305550,11.53
1017365590,11.52
1017425623,11.51
1017485680,11.51
1017545705,11.51
1017605736,11.52
1017665765,11.52
1017725800,11.52
1017785837,11.52
1017845903,11.52
1017906372,11.51
1017966409,11.52
1018026438,11.52
1018086475,11.54
1018146510,11.56
1018206560,11.56
1018266601,11.55
1018326652,11.55
1018386681,11.53
1018447063,11.51
1018507120,11.50
1018567151,11.49
1018627211,11.49
1018687242,11.48
1018747305,11.49
1018807341,11.51
1018867404,11.51
1018927736,11.52
1018987792,11.57
1019047827,11.58
1019107885,11.60
1019167918,11.60
1019227961,11.61
1019287998,11.64
1019348027,11.65
1019408058,11.66
1019468429,11.65
1019528468,11.65
1019588501,11.64
1019648542,11.63
1019708590,11.61
1019768643,11.60
1019828672,11.59
1019888728,11.61
1019948759,11.61
1020008798,11.62
1020069220,11.62
1020129251,11.62
1020189282,11.62
1020249350,11.62
1020309381,11.63
1020369403,11.61
1020429420,11.56
1020489457,11.53
1020549910,11.52
1020609933,11.51
1020669986,11.52
1020730015,11.52
1020790056,11.51
1020850087,11.50
1020910139,11.50
1020970178,11.49
1021030236,11.48
1021090607,11.48
1021150670,11.48
1021210705,11.50
1021270851,11.52
1021330878,11.52
1021390942,11.53
1021450962,11.55
1021510995,11.58
1021571026,11.60
1021631072,11.60
1021691443,11.62
1021751484,11.64
1021811525,11.63
1021871581,11.60
1021931620,11.59
1021991661,11.58
1022051698,11.56
1022111735,11.56
1022171770,11.56
1022232104,11.56
1022292154,11.56
1022352187,11.55
1022412226,11.53
1022472253,11.52
1022532313,11.52
1022592350,11.52
1022652416,11.53
1022712768,11.50
1022772785,11.51
1022832828,11.53
1022892859,11.54
1022952914,11.56
1023012950,11.57
1023072993,11.57
1023133030,11.57
1023193079,11.58
1023253108,11.58
1023313176,11.59
1023373590,11.60
1023433623,11.62
1023493664,11.64
1023553712,11.64
1023613753,11.67
1023673802,11.69
1023733843,11.71
1023793903,11.72
1023854262,11.74
1023914291,11.75
1023974330,11.78
1024034383,11.81
1024094445,11.83
1024154484,11.86
1024214521,11.87
1024274567,11.89
1024334602,11.91
1024394958,11.91
1024454998,11.93
1024515031,11.95
1024575090,11.95
1024635113,11.95
1024695179,11.93
1024755220,11.91
1024815259,11.93
1024875620,11.95
1024935663,11.97
1024995694,11.99
1025055750,11.99
1025115789,12.02
1025175834,12.01
1025235871,12.00
1025295927,12.04
1025355954,12.02
1025415976,12.02
1025476423,12.02
1025536458,12.05
1025596526,12.07
1025656545,12.07
1025716609,12.07
1025776633,12.06
1025836687,12.01
1025896716,12.01
1025956751,12.00
1026017126,12.00
1026077188,11.98
1026137221,11.94
1026197288,11.92
1026257340,11.96
1026317400,11.97
1026377422,11.96
1026437451,11.96
1026497798,11.96
1026557818,11.96
1026617856,11.96
1026677891,11.94
1026737944,11.94
1026797965,11.93
1026858006,11.92
1026918051,11.92
1026978220,11.92
1027038251,11.92
1027098290,11.89
1027158609,11.85
1027218669,11.82
1027278694,11.80
1027338739,11.78
1027398774,11.78
1027458830,11.78
1027518859,11.77
1027578935,11.77
1027639279,11.77
1027699339,11.75
1027759376,11.70
1027819433,11.65
1027879464,11.63
1027939475,11.61
1027999520,11.60
1028059555,11.59
1028119607,11.59
1028179974,11.58
1028240011,11.58
1028300040,11.60
1028360067,11.61
1028420093,11.62
1028480116,11.63
1028540166,11.63
1028600211,11.61
1028660240,11.59
1028720302,11.58
1028780756,11.54
1028840783,11.51
1028900818,11.51
1028960868,11.51
1029020907,11.51
1029080963,11.50
1029141202,11.49
1029201262,11.49
1029261297,11.50
1029321441,11.49
1029381482,11.48
1029441521,11.48
1029501587,11.47
1029561622,11.45
1029621671,11.43
1029681715,11.42
1029741766,11.41
1029802108,11.42
1029862166,11.42
1029922195,11.40
1029982261,11.40
1030042288,11.39
1030102312,11.38
1030162358,11.37
1030222397,11.37
1030282450,11.37
1030342504,11.36
1030402895,11.35
1030462914,11.35
1030522986,11.35
1030583017,11.35
1030643077,11.35
1030703106,11.35
1030763155,11.35
1030823180,11.36
1030883241,11.37
1030943578,11.37
1031003629,11.36
1031063662,11.36
1031123716,11.36
1031183759,11.35
1031243808,11.34
1031303835,11.34
1031363866,11.32
1031424235,11.33
1031484258,11.32
1031544346,11.31
1031604365,11.32
1031664414,11.31
1031724447,11.32
1031784513,11.32
1031844536,11.31
1031904593,11.32
1031964985,11.31
1032025356,11.31
1032085370,11.29
1032145405,11.30
1032205445,11.29
1032265496,11.29
1032325515,11.29
1032385533,11.29
1032445575,11.28
1032505606,11.29
1032565708,11.29
1032625750,11.28
1032685776,11.28
1032745797,11.28
1032805840,11.28
1032865867,11.29
1032925933,11.28
1032985958,11.27
1033046003,11.28
1033106360,11.28
1033166395,11.29
1033226424,11.28
1033286461,11.27
1033346496,11.28
1033406545,11.28
1033466580,11.27
1033526640,11.26
1033587032,11.26
1033647089,11.25
1033707139,11.26
1033767170,11.25
1033827192,11.25
1033887258,11.25
1033947289,11.25
1034007347,11.23
1034067386,11.24
1034127425,11.24
1034187452,11.24
1034247831,11.24
1034307901,11.24
1034367930,11.23
1034427961,11.22
1034487996,11.23
1034548058,11.23
1034608082,11.22
1034668150,11.22
1034728507,11.22
1034788749,11.22
1034848802,11.22
1034908852,11.21
1034968885,11.22
1035028918,11.22
1035088977,11.22
1035149004,11.22
1035209052,11.23
1035269158,11.22
1035329208,11.21
1035389231,11.20
1035449305,11.20
1035509327,11.19
1035569369,11.17
1035629422,11.17
1035689465,11.16
1035749502,11.14
1035809546,11.13
1035869906,11.12
1035929968,11.12
1035989997,11.10
1036050059,11.10
1036110084,11.10
1036170137,11.10
1036230174,11.09
1036290230,11.09
1036350550,11.10
1036410583,11.10
1036470652,11.09
1036530673,11.08
1036590718,11.08
1036650754,11.08
1036710803,11.07
1036770828,11.07
1036830867,11.07
1036891242,11.09
1036951285,11.09
1037011320,11.10
1037071364,11.10
1037131401,11.12
1037191440,11.13
1037251467,11.13
1037311500,11.14
1037371863,11.16
1037431894,11.17
1037491927,11.17
1037551958,11.18
1037612019,11.18
1037672040,11.19
1037732108,11.19
1037792145,11.20
1037852203,11.20
1037912238,11.20
1037972287,11.20
1038032687,11.20
1038092767,11.21
1038152787,11.21
1038212825,11.22
1038272860,11.22
1038332925,11.22
1038392958,11.21
1038453002,11.23
1038513303,11.22
1038573355,11.22
1038633394,11.21
1038693437,11.22
1038753568,11.22
1038813628,11.22
1038873659,11.22
1038933716,11.22
1038993741,11.22
1039053979,11.21
1039114031,11.22
1039174057,11.22
1039234101,11.21
1039294119,11.22
1039354167,11.21
1039414208,11.21
1039474259,11.21
1039534309,11.21
1039594366,11.21
1039654764,11.21
1039714811,11.22
1039774844,11.22
1039834902,11.22
1039894929,11.22
1039954970,11.22
1040014995,11.21
1040075036,11.22
1040135065,11.22
1040195397,11.22
1040255461,11.22
1040315496,11.22
1040375531,11.22
1040435566,11.22
1040495628,11.22
1040555663,11.22
1040615702,11.22
1040676040,11.22
1040736090,11.22
1040796108,11.21
1040856170,11.22
1040916197,11.21
1040976226,11.20
1041036269,11.20
1041096310,11.19
1041156335,11.18
1041216395,11.19
1041276788,11.19
1041336807,11.19
1041396860,11.18
1041456898,11.18
1041516945,11.17
1041576976,11.17
1041637029,11.16
1041697056,11.17
1041757114,11.15
1041817462,11.16
1041877483,11.17
1041937510,11.17
1041997568,11.18
1042057641,11.18
1042117689,11.16
1042177722,11.15
1042237775,11.15
1042298103,11.14
1042358132,11.14
1042418196,11.15
1042478225,11.15
1042538274,11.13
1042598307,11.13
1042658357,11.13
1042718382,11.12
1042778427,11.11
1042838761,11.11
1042898823,11.10
1042958858,11.09
1043018909,11.08
1043078942,11.07
1043138988,11.06
1043199205,11.06
1043259234,11.06
1043319287,11.06
1043379324,11.05
1043439527,11.04
1043499577,11.03
1043559612,11.04
1043619661,11.04
1043679698,11.05
1043739752,11.04
1043799783,11.05
1043859824,11.04
1043919847,11.04
1043980187,11.03
1044040222,11.03
1044100261,11.04
1044160299,11.03
1044220325,11.03
1044280389,11.04
1044340428,11.04
1044400474,11.03
1044460840,11.03
1044520890,11.03
1044580939,11.04
1044641009,11.05
1044701054,11.05
1044761094,11.04
1044821125,11.04
1044881168,11.03
1044941191,11.05
1045001246,11.04
1045061287,11.04
1045121630,11.03
1045181673,11.04
1045241712,11.05
1045301762,11.04
1045361788,11.04
1045421848,11.04
1045481879,11.03
1045541943,11.04
1045602244,11.04
1045662283,11.04
1045722306,11.04
1045782364,11.03
1045842386,11.03
1045902444,11.03
1045962471,11.05
1046022529,11.04
1046082555,11.04
1046142941,11.04
1046202974,11.03
1046263013,11.03
1046323068,11.04
1046383095,11.06
1046443151,11.05
1046503180,11.05
1046563246,11.05
1046623279,11.06
1046683308,11.07
1046743676,11.07
1046803705,11.07
1046863742,11.08
1046923784,11.08
1046983825,11.09
1047043868,11.09
1047103909,11.09
1047163951,11.09
1047224309,11.10
1047284322,11.09
1047344375,11.09
1047404398,11.10
1047464454,11.11
1047524485,11.10
1047584557,11.10
1047644583,11.11
1047704621,11.11
1047765000,11.11
1047825043,11.11
1047885074,11.12
1047945132,11.11
1048005169,11.12
1048065206,11.12
1048125243,11.12
1048185290,11.12
1048245338,11.13
1048305373,11.13
1048365733,11.13
1048425789,11.13
1048485826,11.13
1048545882,11.14
1048605908,11.14
1048665958,11.14
1048725993,11.13
1048786049,11.13
1048846098,11.14
1048906409,11.14
1048966455,11.14
1049026496,11.13
1049086545,11.12
1049146587,11.12
1049206626,11.11
1049266669,11.11
1049326716,11.11
1049387048,11.11
1049447096,11.11
1049507131,11.10
1049567188,11.10
1049627222,11.09
1049687267,11.10
1049747318,11.09
1049807378,11.09
1049867405,11.09
1049927763,11.09
1049987809,11.09
1050047836,11.09
1050107906,11.10
1050167930,11.09
1050227974,11.09
1050287996,11.10
1050348050,11.09
1050408091,11.09
1050468145,11.09
1050528460,11.09
1050588518,11.08
1050648545,11.09
1050708604,11.08
1050768633,11.09
1050828689,11.08
1050888724,11.09
1050948775,11.08
1051008815,11.09
1051069132,11.08
1051129184,11.09
1051189211,11.08
1051249240,11.08
1051309506,11.09
1051369535,11.10
1051429572,11.09
1051489601,11.09
1051549769,11.09
1051609833,11.09
1051669858,11.08
1051729907,11.09
1051790381,11.08
1051850436,11.08
1051910469,11.09
1051970512,11.09
1052030543,11.08
1052090593,11.10
1052150626,11.09
1052211013,11.10
1052271048,11.10
1052331094,11.10
1052391127,11.10
1052451170,11.10
1052511193,11.11
1052571217,11.10
1052631255,11.11
1052691275,11.10
1052751622,11.11
1052811653,11.11
1052871700,11.11
1052931727,11.12
1052991787,11.11
1053051809,11.13
1053111871,11.12
1053171918,11.12
1053232240,11.13
1053292290,11.13
1053352321,11.13
1053412382,11.13
1053472407,11.13
1053532463,11.13
1053592504,11.14
1053652557,11.14
1053712586,11.14
1053772664,11.14
1053832681,11.14
1053893031,11.14
1053953056,11.14
1054013116,11.14
1054073141,11.14
1054133164,11.14
1054193201,11.15
1054253246,11.15
1054313304,11.14
1054373664,11.14
1054433724,11.13
1054493747,11.11
1054553788,11.13
1054613815,11.11
1054673870,11.09
1054733901,11.08
1054793998,11.09
1054854033,11.06
1054914342,11.05
1054974384,11.05
1055034427,11.05
1055094464,11.06
1055154509,11.05
1055214540,11.05
1055274586,11.05
1055334612,11.06
1055394635,11.07
1055454662,11.07
1055514693,11.06
1055574726,11.07
1055634782,11.07
1055694811,11.07
1055754866,11.06
1055814903,11.07
1055874955,11.06
1055934990,11.06
1055995346,11.07
1056055400,11.06
1056115433,11.07
1056175495,11.08
1056235515,11.07
1056295569,11.07
1056355598,11.08
1056415653,11.07
1056475979,11.08
1056536041,11.08
1056596084,11.07
1056656125,11.08
1056716158,11.08
1056776210,11.08
1056836245,11.08
1056896299,11.08
1056956325,11.08
1057016657,11.09
1057076697,11.09
1057136719,11.09
1057196797,11.09
1057256835,11.10
1057316868,11.10
1057376897,11.10
1057436960,11.09
1057496987,11.10
1057557057,11.10
1057617455,11.10
1057677477,11.08
1057737517,11.10
1057797580,11.10
1057857617,11.09
1057917644,11.10
1057977661,11.10
1058037706,11.10
1058098044,11.10
1058158069,11.10
1058218131,11.10
1058278158,11.10
1058338220,11.10
1058398248,11.10
1058458304,11.09
1058518323,11.10
1058578386,11.09
1058638700,11.10
1058698733,11.09
1058758768,11.10
1058818820,11.10
1058878836,11.09
1058938888,11.10
1058998931,11.09
1059058974,11.09
1059119015,11.09
1059179067,11.09
1059239462,11.08
1059299506,11.08
1059359543,11.08
1059419590,11.08
1059479640,11.07
1059539673,11.07
1059599699,11.07
1059659757,11.06
1059719784,11.06
1059780116,11.06
1059840178,11.06
1059900215,11.07
1059960256,11.06
1060020279,11.06
1060080316,11.05
1060140357,11.05
1060200396,11.05
1060260763,11.05
1060320817,11.05
1060380864,11.04
1060440930,11.05
1060500969,11.04
1060561006,11.04
1060621033,11.03
1060681056,11.03
1060741095,11.04
1060801423,11.04
1060861487,11.02
1060921516,11.04
1060981571,11.04
1061041612,11.05
1061101639,11.04
1061161664,11.05
1061221695,11.06
1061281724,11.07
1061341777,11.07
1061402175,11.07
1061462226,11.08
1061522257,11.07
1061582307,11.07
1061642346,11.08
1061702389,11.08
1061762414,11.08
1061822472,11.08
1061882507,11.07
1061942845,11.08
1062002905,11.07
1062062936,11.06
1062122973,11.05
1062183010,11.04
1062243057,11.03
1062303094,11.01
1062363150,11.01
1062423480,10.99
1062483539,11.00
1062543597,11.01
1062603644,11.00
1062663680,10.99
1062723731,11.00
1062783760,10.99
1062843820,11.00
1062903863,11.01
1062963927,11.03
1063024220,11.05
1063084249,11.05
1063144280,11.05
1063204304,11.05
1063264360,11.05
1063324397,11.05
1063384453,11.05
1063444486,11.06
1063504537,11.05
1063564894,11.07
1063624955,11.06
1063684999,11.05
1063745044,11.05
1063805075,11.05
1063865120,11.06
1063925159,11.06
1063985197,11.06
1064045531,11.07
1064105562,11.07
1064165621,11.07
1064225638,11.06
1064285720,11.06
1064345780,11.06
1064405815,11.05
1064465858,11.06
1064525891,11.06
1064585957,11.06
1064645998,11.07
1064706328,11.07
1064766371,11.08
1064826404,11.09
1064886448,11.08
1064946475,11.09
1065006526,11.08
1065066547,11.08
1065126592,11.09
1065186938,11.08
1065246961,11.08
1065307113,11.09
1065367152,11.09
1065427183,11.10
1065487237,11.09
1065547274,11.09
1065607317,11.09
1065667344,11.09
1065727619,11.09
1065787674,11.09
1065847699,11.09
1065907750,11.09
1065967777,11.09
1066027837,11.08
1066087870,11.09
1066147905,11.09
1066207948,11.08
1066268014,11.08
1066328358,11.08
1066388416,11.08
1066448451,11.07
1066508513,11.08
1066568542,11.08
1066628587,11.08
1066688620,11.07
1066748678,11.07
1066808713,11.08
1066869028,11.08
1066929090,11.09
1066989119,11.07
1067049177,11.08
1067109201,11.08
1067169251,11.08
1067229288,11.08
1067289352,11.08
1067349671,11.09
1067409700,11.08
1067469740,11.09
1067529865,11.09
1067589908,11.08
1067649972,11.08
1067709997,11.08
1067770046,11.08
1067830075,11.08
1067890374,11.09
1067950424,11.08
1068010448,11.08
1068070510,11.08
1068130537,11.08
1068190603,11.09
1068250619,11.08
1068310661,11.08
1068370677,11.08
1068430731,11.08
1068491096,11.09
1068551145,11.09
1068611174,11.08
1068671225,11.08
1068731248,11.08
1068791273,11.08
1068851316,11.08
1068911370,11.07
1068971722,11.08
1069031747,11.08
1069091782,11.08
1069151827,11.07
1069211873,11.07
1069271898,11.07
1069331945,11.08
1069391980,11.08
1069452027,11.09
1069512390,11.08
1069572452,11.08
1069632491,11.07
1069692532,11.07
1069752590,11.07
1069812649,11.08
1069872693,11.08
1069932732,11.08
1069992765,11.07
1070052812,11.08
1070113148,11.08
1070173220,11.08
1070233260,11.08
1070293305,11.07
1070353344,11.08
1070413400,11.07
1070473433,11.08
1070533482,11.08
1070593507,11.08
1070653839,11.08
1070713888,11.07
1070773915,11.08
1070833958,11.08
1070894118,11.08
1070954153,11.08
1071014199,11.07
1071074250,11.08
1071134447,11.08
1071194492,11.07
1071254536,11.08
1071314581,11.08
1071374606,11.08
1071434659,11.08
1071494699,11.09
1071554787,11.08
1071614826,11.07
1071674867,11.08
1071734900,11.08
1071795212,11.09
1071855247,11.09
1071915272,11.08
1071975335,11.09
1072035368,11.08
1072095414,11.09
1072155447,11.09
1072215488,11.09
1072275857,11.10
1072335921,11.10
1072395956,11.09
1072455993,11.09
1072516038,11.09
1072576075,11.10
1072636098,11.09
1072696123,11.10
1072756170,11.09
1072816525,11.09
1072876591,11.10
1072936617,11.10
1072996653,11.10
1073056700,11.10
1073116741,11.10
1073176772,11.11
1073236822,11.11
1073297170,11.11
1073357213,11.11
1073417244,11.11
1073477263,11.10
1073537286,11.12
1073597308,11.11
1073657348,11.11
1073717383,11.12
1073777432,11.11
1073837463,11.12
1073897904,11.12
1073957939,11.12
