millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
3274720,1727106308.80,8.37,121.86,108.45,
3275119,1727106309.20,-134.46,41.59,73.37,
3275520,1727106309.60,-229.63,-28.78,9.33,
3275920,1727106310.00,-23.72,74.55,-42.77,
3276319,1727106310.40,-183.47,-30.32,-73.52,
3276719,1727106310.80,-122.02,-4.26,-98.15,
3277119,1727106311.20,-93.87,-5.37,-120.02,
3277519,1727106311.60,-198.74,-62.38,-132.91,
3277920,1727106312.00,-303.62,-129.21,-141.82,
3278321,1727106312.40,91.51,60.24,-161.56,
3278720,1727106312.80,-300.05,-125.55,-167.11,
3279120,1727106313.20,-462.44,-146.30,-129.73,
3279520,1727106313.60,-384.62,-101.29,-83.64,
3279920,1727106314.00,-364.98,-69.80,-71.73,
3280322,1727106314.40,-484.28,-131.25,-47.24,
3280721,1727106314.80,-567.34,-168.51,-31.95,
3281121,1727106315.20,-619.06,-201.62,-33.32,
3281520,1727106315.60,-775.33,-296.73,-35.55,
3281921,1727106316.00,-788.76,-290.05,-40.21,
3282321,1727106316.40,-738.28,-301.72,-51.22,
3282722,1727106316.80,-689.47,-293.63,-59.92,
3283122,1727106317.20,-433.08,-156.07,-42.44,
3283523,1727106317.60,-251.08,-47.97,-31.15,
3283924,1727106318.00,-327.13,-80.22,-14.35,
3284350,1727106318.40,-242.59,-93.85,-7.83,
3284722,1727106318.80,-489.24,-239.68,0.99,
3285123,1727106319.20,-576.45,-307.68,18.55,
3285521,1727106319.60,-336.57,-229.25,6.03,
3285922,1727106320.00,-388.61,-297.56,-25.95,
3286322,1727106320.40,-176.18,-185.93,-55.91,
3286723,1727106320.80,-384.13,-343.24,-45.15,
3287122,1727106321.20,-295.04,-317.43,-47.55,
3287525,1727106321.60,-375.77,-375.47,-54.18,
3287924,1727106322.00,-275.80,-334.56,-72.09,
3288323,1727106322.40,-294.38,-379.12,-89.66,
3288722,1727106322.80,24.53,-244.95,-128.86,
3289122,1727106323.20,57.80,-230.86,-166.55,
3289522,1727106323.60,-138.62,-281.70,-177.92,
3289923,1727106324.00,-201.09,-300.84,-172.17,
3290323,1727106324.40,42.22,-145.30,-166.01,
3290725,1727106324.80,-181.26,-247.68,-169.25,
3291123,1727106325.20,-14.28,-110.10,-179.73,
3291524,1727106325.60,239.91,53.71,-185.69,
3291924,1727106326.00,152.72,4.56,-194.79,
3292325,1727106326.40,474.55,196.00,-191.61,
3292723,1727106326.80,645.14,264.25,-179.24,
3293126,1727106327.20,454.11,149.80,-163.05,
3293525,1727106327.60,539.60,203.05,-144.74,
3293924,1727106328.00,595.86,225.89,-154.36,
3294325,1727106328.40,692.82,288.87,-185.87,
3294724,1727106328.80,1015.08,498.54,-188.37,
3295126,1727106329.20,1104.00,589.29,-182.40,
3295525,1727106329.60,1526.86,896.52,-159.57,
3295926,1727106330.00,1431.44,856.62,-124.29,
3296324,1727106330.40,1261.59,752.42,-108.07,
3296724,1727106330.80,1060.38,680.84,-109.90,
3297125,1727106331.20,1058.98,785.08,-70.47,
3297526,1727106331.60,1268.64,959.82,-21.82,
3297925,1727106332.00,1391.55,1070.55,18.18,
3298325,1727106332.40,1413.89,1059.73,58.54,
3298725,1727106332.80,1443.68,1049.07,84.97,
3299125,1727106333.20,1332.26,987.79,105.05,
3299527,1727106333.60,1160.07,868.44,149.07,
3299925,1727106334.00,887.64,670.32,183.57,
3300325,1727106334.40,617.14,510.97,228.31,
3300727,1727106334.80,338.75,367.88,280.11,
3301127,1727106335.20,32.59,157.56,321.86,
3301526,1727106335.60,-264.41,-36.87,348.05,
3301927,1727106336.00,-547.46,-214.96,369.70,
3302326,1727106336.40,-867.12,-425.61,365.33,
3302729,1727106336.80,-1168.81,-592.62,354.90,
3303125,1727106337.20,-1475.75,-819.11,340.23,
3303527,1727106337.60,-1739.78,-989.56,314.83,
3303931,1727106338.00,-1974.62,-1109.64,304.13,
3304355,1727106338.40,-2205.76,-1285.74,283.54,
3304727,1727106338.80,-2307.60,-1352.34,242.49,
3305128,1727106339.20,-2366.94,-1410.35,202.46,
3305528,1727106339.60,-2375.43,-1409.35,141.40,
3305927,1727106340.00,-2417.59,-1458.43,87.72,
3306328,1727106340.40,-2403.89,-1462.45,34.61,
3306728,1727106340.80,-2329.80,-1411.27,-5.43,
3307129,1727106341.20,-2270.67,-1397.09,-43.19,
3307527,1727106341.60,-2129.30,-1295.52,-68.52,
3307927,1727106342.00,-2013.68,-1256.31,-86.03,
3308326,1727106342.40,-1891.95,-1216.76,-104.91,
3308728,1727106342.80,-1725.36,-1075.69,-119.97,
3309128,1727106343.20,-1588.50,-921.36,-111.89,
3309528,1727106343.60,-1462.01,-856.26,-95.19,
3309928,1727106344.00,-1252.49,-797.20,-111.18,
3310328,1727106344.40,-1055.96,-708.67,-139.57,
3310728,1727106344.80,-819.74,-597.74,-153.91,
3311127,1727106345.20,-607.29,-518.95,-146.71,
3311527,1727106345.60,-324.47,-383.17,-141.89,
3311929,1727106346.00,-199.71,-286.51,-148.75,
3312329,1727106346.40,-18.89,-189.17,-129.80,
3312728,1727106346.80,98.71,-109.40,-119.91,
3313129,1727106347.20,322.24,71.59,-111.96,
3313527,1727106347.60,560.48,297.40,-86.85,
3313930,1727106348.00,635.05,389.30,-68.06,
3314335,1727106348.40,708.33,504.23,-65.36,
3314729,1727106348.80,765.62,535.92,-50.52,
3315130,1727106349.20,822.18,616.23,-31.55,
3315529,1727106349.60,811.51,584.30,12.72,
3315930,1727106350.00,812.16,628.10,23.58,
3316330,1727106350.40,691.12,532.95,17.24,
3316730,1727106350.80,696.56,526.54,12.39,
3317130,1727106351.20,620.83,441.92,0.78,
3317529,1727106351.60,716.54,495.49,-17.79,
3317930,1727106352.00,776.76,509.24,-43.32,
3318330,1727106352.40,768.43,424.32,-63.11,
3318729,1727106352.80,796.08,410.24,-79.57,
3319130,1727106353.20,891.72,453.94,-88.43,
3319530,1727106353.60,973.10,508.80,-98.92,
3319931,1727106354.00,1053.02,588.05,-109.45,
3320331,1727106354.40,1116.61,602.44,-117.83,
3320730,1727106354.80,1230.80,712.29,-143.78,
3321130,1727106355.20,1158.41,647.19,-130.31,
3321531,1727106355.60,1172.60,641.76,-130.87,
3321930,1727106356.00,1175.94,649.63,-129.94,
3322330,1727106356.40,1090.46,519.78,-153.52,
3322728,1727106356.80,986.06,413.01,-176.31,
3323130,1727106357.20,894.27,342.62,-185.17,
3323531,1727106357.60,840.19,302.50,-191.28,
3323931,1727106358.00,815.47,321.10,-189.34,
3324357,1727106358.40,722.54,221.56,-149.35,
3324730,1727106358.80,706.32,224.84,-116.02,
3325134,1727106359.20,632.95,163.66,-76.86,
3325530,1727106359.60,554.54,84.05,-46.13,
3325931,1727106360.00,537.19,57.37,-17.28,
3326335,1727106360.40,452.11,24.48,-21.68,
3326733,1727106360.80,442.41,67.71,5.60,
3327132,1727106361.20,363.84,58.38,36.35,
3327531,1727106361.60,256.03,6.13,63.96,
3327931,1727106362.00,335.57,150.24,84.90,
3328333,1727106362.40,379.75,234.95,100.07,
3328732,1727106362.80,420.66,269.91,122.75,
3329131,1727106363.20,417.00,279.92,128.58,
3329532,1727106363.60,364.28,270.18,119.79,
3329932,1727106364.00,285.90,228.29,129.79,
3330331,1727106364.40,279.04,258.55,133.99,
3330733,1727106364.80,277.07,280.35,120.83,
3331135,1727106365.20,304.25,360.55,122.53,
3331531,1727106365.60,274.76,353.02,149.43,
3331933,1727106366.00,199.67,307.76,143.98,
3332334,1727106366.40,167.56,331.83,166.19,
3332733,1727106366.80,117.21,278.10,202.77,
3333133,1727106367.20,14.27,196.53,217.69,
3333533,1727106367.60,13.88,207.41,203.03,
3333932,1727106368.00,-74.54,194.30,212.08,
3334333,1727106368.40,-74.71,177.85,234.29,
3334733,1727106368.80,-43.77,125.54,219.79,
3335133,1727106369.20,-67.56,78.26,219.64,
3335534,1727106369.60,-174.39,3.50,233.34,
3335933,1727106370.00,-240.28,-27.59,253.94,
3336334,1727106370.40,-247.02,-22.30,270.30,
3336734,1727106370.80,-376.03,-102.54,274.43,
3337134,1727106371.20,-442.96,-104.07,263.75,
3337533,1727106371.60,-497.77,-139.04,255.27,
3337933,1727106372.00,-488.63,-135.77,238.45,
3338333,1727106372.40,-585.36,-198.44,216.65,
3338734,1727106372.80,-555.29,-183.88,187.32,
3339134,1727106373.20,-580.99,-188.09,145.03,
3339534,1727106373.60,-636.91,-174.99,75.92,
3339934,1727106374.00,-649.08,-147.33,18.71,
3340334,1727106374.40,-600.18,-109.44,-35.09,
3340734,1727106374.80,-527.71,-63.27,-97.62,
3341133,1727106375.20,-490.89,-12.39,-142.59,
3341533,1727106375.60,-495.40,-41.18,-156.39,
3341935,1727106376.00,-505.53,-34.15,-163.57,
3342333,1727106376.40,-558.65,-113.03,-185.75,
3342733,1727106376.80,-567.53,-112.58,-200.57,
3343134,1727106377.20,-512.27,-47.61,-205.44,
3343534,1727106377.60,-406.04,50.65,-223.47,
3343936,1727106378.00,-273.98,174.20,-231.79,
3344361,1727106378.40,-254.97,165.79,-226.54,
3344735,1727106378.80,-77.24,265.82,-229.03,
3345136,1727106379.20,14.14,285.72,-224.91,
3345535,1727106379.60,74.61,239.46,-219.76,
3345935,1727106380.00,42.85,141.49,-213.64,
3346336,1727106380.40,68.28,119.00,-205.68,
3346736,1727106380.80,47.84,74.02,-173.81,
3347135,1727106381.20,-73.32,-70.58,-176.82,
3347535,1727106381.60,-91.09,-142.90,-183.36,
3347935,1727106382.00,-155.88,-238.84,-182.49,
3348336,1727106382.40,-111.94,-236.30,-171.84,
3348736,1727106382.80,-34.24,-253.01,-175.65,
3349135,1727106383.20,-62.37,-334.68,-185.33,
3349535,1727106383.60,-16.40,-334.17,-180.44,
3349935,1727106384.00,-83.47,-432.78,-148.47,
3350337,1727106384.40,-107.30,-493.04,-147.02,
3350736,1727106384.80,-213.69,-585.05,-131.36,
3351137,1727106385.20,-279.97,-603.33,-96.35,
3351537,1727106385.60,-311.27,-609.59,-61.53,
3351936,1727106386.00,-391.97,-653.52,-35.46,
3352337,1727106386.40,-248.92,-530.10,-2.53,
3352736,1727106386.80,-138.09,-454.87,29.94,
3353137,1727106387.20,-93.52,-435.26,50.69,
3353539,1727106387.60,14.36,-344.72,75.01,
3353938,1727106388.00,131.55,-297.85,118.66,
3354337,1727106388.40,201.90,-319.52,141.04,
3354738,1727106388.80,206.25,-361.19,170.80,
3355140,1727106389.20,315.65,-237.74,214.62,
3355540,1727106389.60,387.82,-180.61,235.48,
3355939,1727106390.00,494.31,-95.27,243.46,
3356338,1727106390.40,494.12,-87.99,246.91,
3356739,1727106390.80,342.55,-224.49,250.79,
3357139,1727106391.20,163.54,-391.59,234.94,
3357538,1727106391.60,32.27,-463.65,205.08,
3357940,1727106392.00,-6.12,-456.23,170.57,
3358339,1727106392.40,56.76,-303.93,117.61,
3358739,1727106392.80,82.41,-184.56,101.74,
3359139,1727106393.20,116.91,-77.49,83.60,
3359539,1727106393.60,0.36,-113.55,72.80,
3359939,1727106394.00,-90.92,-164.86,45.65,
3360339,1727106394.40,-133.92,-143.69,28.20,
3360739,1727106394.80,-175.51,-114.39,20.60,
3361140,1727106395.20,-229.09,-128.77,-7.62,
3361541,1727106395.60,-303.27,-160.40,-44.64,
3361939,1727106396.00,-443.75,-237.72,-70.94,
3362339,1727106396.40,-451.39,-217.10,-71.06,
3362740,1727106396.80,-468.68,-233.03,-78.71,
3363140,1727106397.20,-413.91,-212.00,-73.38,
3363540,1727106397.60,-381.32,-127.17,-60.38,
3363939,1727106398.00,-404.91,-75.52,-58.42,
3364369,1727106398.40,-381.15,-51.09,-62.61,
3364740,1727106398.80,-331.67,-15.47,-67.11,
3365140,1727106399.20,-196.69,161.04,-83.31,
3365539,1727106399.60,-60.72,314.70,-101.29,
3365941,1727106400.00,72.62,462.80,-105.89,
3366340,1727106400.40,149.35,537.79,-82.53,
3366740,1727106400.80,139.78,535.18,-54.12,
3367140,1727106401.20,192.63,536.10,-47.21,
3367540,1727106401.60,241.65,539.36,-39.73,
3367941,1727106402.00,247.15,560.03,-32.78,
3368341,1727106402.40,309.53,594.57,-29.03,
3368741,1727106402.80,323.94,571.86,-31.45,
3369141,1727106403.20,311.83,603.20,-35.14,
3369541,1727106403.60,318.65,659.55,-38.80,
3369941,1727106404.00,274.10,568.63,-16.39,
3370341,1727106404.40,202.46,443.08,-30.69,
3370741,1727106404.80,202.52,425.02,-36.53,
3371142,1727106405.20,246.51,459.04,-39.86,
3371543,1727106405.60,298.65,517.40,-50.86,
3371942,1727106406.00,342.50,577.24,-69.48,
3372342,1727106406.40,404.30,602.23,-84.74,
3372742,1727106406.80,439.38,647.90,-63.77,
3373142,1727106407.20,452.61,692.11,-41.78,
3373542,1727106407.60,511.78,716.17,-33.63,
3373942,1727106408.00,580.82,705.44,-38.45,
3374343,1727106408.40,615.25,682.86,-55.27,
3374743,1727106408.80,633.70,633.99,-45.49,
3375143,1727106409.20,624.59,563.06,-45.74,
3375543,1727106409.60,527.33,458.79,-28.91,
3375943,1727106410.00,426.71,346.04,-4.90,
3376345,1727106410.40,323.88,244.16,-7.74,
3376744,1727106410.80,299.45,168.55,2.85,
3377143,1727106411.20,246.64,98.94,10.63,
3377544,1727106411.60,262.80,52.11,8.89,
3377943,1727106412.00,307.41,73.25,22.82,
3378344,1727106412.40,282.06,31.81,44.57,
3378745,1727106412.80,238.94,7.68,73.91,
3379145,1727106413.20,169.37,-19.42,96.15,
3379545,1727106413.60,105.47,-48.67,113.03,
3379944,1727106414.00,86.36,-79.32,113.51,
3380345,1727106414.40,37.02,-94.63,88.19,
3380744,1727106414.80,-9.05,-113.61,90.00,
3381144,1727106415.20,-51.80,-135.35,91.08,
3381545,1727106415.60,-117.12,-175.10,103.95,
3381947,1727106416.00,-134.06,-196.37,114.26,
3382346,1727106416.40,-203.98,-234.62,115.88,
3382744,1727106416.80,-262.18,-269.59,116.62,
3383143,1727106417.20,-256.92,-301.14,98.58,
3383543,1727106417.60,-279.43,-346.14,78.24,
3383944,1727106418.00,-271.75,-366.84,61.73,
3384371,1727106418.40,-265.80,-351.29,46.75,
3384746,1727106418.80,-274.62,-306.77,60.04,
3385147,1727106419.20,-307.43,-305.91,83.10,
3385548,1727106419.60,-332.63,-339.90,87.46,
3385945,1727106420.00,-272.27,-334.71,74.80,
3386348,1727106420.40,-223.01,-331.03,49.51,
3386745,1727106420.80,-209.45,-312.27,36.86,
3387145,1727106421.20,-186.24,-297.64,38.12,
3387546,1727106421.60,-180.67,-302.46,28.95,
3387947,1727106422.00,-164.22,-273.35,30.31,
3388347,1727106422.40,-177.72,-250.46,14.08,
3388745,1727106422.80,-214.81,-265.89,5.47,
3389146,1727106423.20,-178.68,-278.38,-11.19,
3389545,1727106423.60,-149.69,-238.81,-22.37,
3389946,1727106424.00,-152.83,-223.31,-31.60,
3390346,1727106424.40,-103.79,-228.11,-19.42,
3390746,1727106424.80,-78.21,-214.87,-23.40,
3391148,1727106425.20,-20.12,-204.16,-29.54,
3391546,1727106425.60,35.95,-195.48,-32.81,
3391946,1727106426.00,24.77,-188.36,-40.84,
3392347,1727106426.40,24.13,-182.40,-35.53,
3392748,1727106426.80,32.74,-145.10,-24.98,
3393146,1727106427.20,35.06,-164.57,-22.95,
3393546,1727106427.60,18.76,-146.72,-36.74,
3393947,1727106428.00,40.50,-165.22,-27.15,
3394347,1727106428.40,65.33,-130.03,-32.96,
3394747,1727106428.80,79.43,-101.47,-33.12,
3395147,1727106429.20,71.92,-110.84,-18.88,
3395547,1727106429.60,47.05,-118.06,0.35,
3395948,1727106430.00,33.65,-140.19,-1.88,
3396349,1727106430.40,42.99,-139.59,-12.35,
3396746,1727106430.80,44.30,-137.53,-23.85,
3397147,1727106431.20,13.07,-167.14,-26.10,
3397547,1727106431.60,-17.81,-188.16,-42.31,
3397947,1727106432.00,-47.83,-185.42,-46.99,
3398348,1727106432.40,-102.47,-162.45,-28.87,
3398747,1727106432.80,-111.31,-157.39,-53.61,
3399149,1727106433.20,-146.62,-116.42,-66.55,
3399548,1727106433.60,-190.67,-96.41,-60.74,
3399947,1727106434.00,-266.53,-77.30,-59.59,
3400347,1727106434.40,-326.67,-59.08,-69.28,
3400748,1727106434.80,-319.80,-25.67,-68.61,
3401148,1727106435.20,-325.07,-12.81,-47.91,
3401548,1727106435.60,-326.12,-50.50,-40.13,
3401950,1727106436.00,-362.63,-77.69,-37.44,
3402350,1727106436.40,-361.07,-78.67,-25.43,
3402748,1727106436.80,-327.57,-42.27,-5.27,
3403148,1727106437.20,-334.81,-26.53,21.92,
3403548,1727106437.60,-334.71,-10.51,45.22,
3403949,1727106438.00,-302.27,38.60,50.54,
3404375,1727106438.40,-295.91,47.17,63.61,
3404748,1727106438.80,-232.31,56.19,61.08,
3405149,1727106439.20,-163.05,82.42,44.23,
3405549,1727106439.60,-141.30,104.94,47.46,
3405949,1727106440.00,-105.93,123.99,55.04,
3406349,1727106440.40,-35.08,122.83,55.14,
3406749,1727106440.80,-13.94,155.48,43.78,
3407156,1727106441.20,5.50,165.31,34.13,
3407549,1727106441.60,35.81,155.60,17.06,
3407948,1727106442.00,61.78,147.31,8.65,
3408353,1727106442.40,31.95,140.20,5.56,
3408749,1727106442.80,22.45,151.07,4.08,
3409150,1727106443.20,17.06,142.04,6.59,
3409550,1727106443.60,28.60,151.07,-2.98,
3409949,1727106444.00,40.18,140.30,-7.74,
3410349,1727106444.40,116.86,163.78,-12.13,
3410749,1727106444.80,127.02,164.90,-14.34,
3411150,1727106445.20,147.94,180.06,-6.71,
3411550,1727106445.60,151.94,189.85,-8.34,
3411952,1727106446.00,127.89,161.83,1.41,
3412349,1727106446.40,96.10,153.93,12.90,
3412750,1727106446.80,123.09,193.40,21.05,
3413149,1727106447.20,170.66,254.56,45.07,
3413552,1727106447.60,312.23,430.66,70.50,
3413950,1727106448.00,278.29,430.05,98.18,
3414355,1727106448.40,285.42,402.39,117.11,
3414750,1727106448.80,273.17,353.90,129.30,
3415151,1727106449.20,258.71,321.32,136.51,
3415553,1727106449.60,178.11,237.31,131.30,
3415952,1727106450.00,201.45,161.64,126.73,
3416352,1727106450.40,216.22,93.91,105.56,
3416751,1727106450.80,236.02,98.96,68.64,
3417151,1727106451.20,273.41,129.83,43.82,
3417550,1727106451.60,244.16,49.05,30.91,
3417951,1727106452.00,214.46,-21.46,16.07,
3418351,1727106452.40,184.68,-34.09,-7.23,
3418751,1727106452.80,129.24,-112.75,-29.75,
3419152,1727106453.20,158.72,-97.00,-51.20,
3419552,1727106453.60,72.17,-168.54,-78.47,
3419954,1727106454.00,-1.19,-227.12,-108.01,
3420352,1727106454.40,-10.66,-257.79,-143.13,
3420752,1727106454.80,44.64,-249.10,-181.84,
3421152,1727106455.20,20.09,-273.12,-206.31,
3421553,1727106455.60,36.50,-274.32,-218.61,
3421952,1727106456.00,-19.29,-289.04,-240.26,
3422352,1727106456.40,-14.78,-297.88,-270.44,
3422751,1727106456.80,-0.49,-317.52,-285.89,
3423153,1727106457.20,-31.47,-328.91,-286.11,
3423552,1727106457.60,-149.96,-383.05,-297.82,
3423952,1727106458.00,-192.09,-369.69,-296.61,
3424378,1727106458.40,-224.63,-335.92,-317.67,
3424752,1727106458.80,-236.03,-302.07,-331.49,
3425155,1727106459.20,-229.94,-268.41,-332.43,
3425552,1727106459.60,-156.05,-153.84,-317.99,
3425953,1727106460.00,-82.78,-90.92,-282.93,
3426352,1727106460.40,15.34,-4.40,-248.52,
3426753,1727106460.80,-64.43,-48.16,-198.80,
3427153,1727106461.20,-37.54,0.41,-132.07,
3427555,1727106461.60,-30.22,24.67,-76.89,
3427954,1727106462.00,-11.90,78.11,-23.82,
3428354,1727106462.40,-24.47,87.68,26.62,
3428753,1727106462.80,-23.08,144.04,78.50,
3429154,1727106463.20,-297.39,6.92,133.16,
3429553,1727106463.60,-250.34,62.59,128.11,
3429954,1727106464.00,106.49,222.50,102.96,
3430353,1727106464.40,166.04,297.92,76.53,
3430754,1727106464.80,143.92,319.73,133.67,
3431156,1727106465.20,253.17,379.90,188.66,
3431554,1727106465.60,215.77,337.67,242.42,
3431954,1727106466.00,88.05,230.73,292.94,
3432354,1727106466.40,6.63,187.34,316.27,
3432754,1727106466.80,-8.27,180.34,323.22,
3433154,1727106467.20,-8.85,169.33,312.03,
3433554,1727106467.60,1.14,205.11,291.55,
3433960,1727106468.00,124.83,276.41,295.85,
3434356,1727106468.40,167.06,292.04,275.78,
3434754,1727106468.80,76.68,262.21,258.57,
3435155,1727106469.20,196.29,328.38,275.85,
3435555,1727106469.60,206.19,288.14,292.32,
3435955,1727106470.00,100.73,212.07,302.92,
3436357,1727106470.40,115.71,174.58,292.03,
3436754,1727106470.80,-36.04,102.31,287.83,
3437155,1727106471.20,-43.04,69.53,278.80,
3437555,1727106471.60,52.75,51.87,244.18,
3437955,1727106472.00,124.24,30.41,217.04,
3438354,1727106472.40,82.41,-26.92,194.30,
3438756,1727106472.80,160.43,-12.70,184.13,
3439158,1727106473.20,57.33,-106.90,166.90,
3439555,1727106473.60,-31.72,-169.85,126.14,
3439955,1727106474.00,23.70,-174.15,90.32,
3440356,1727106474.40,-42.26,-213.45,61.62,
3440755,1727106474.80,-87.13,-229.77,29.20,
3441156,1727106475.20,-308.94,-359.37,-0.35,
3441555,1727106475.60,-328.89,-396.16,-37.84,
3441955,1727106476.00,-329.14,-438.60,-81.88,
3442357,1727106476.40,-143.40,-319.69,-118.65,
3442756,1727106476.80,-166.18,-337.15,-152.37,
3443156,1727106477.20,-419.84,-446.19,-172.11,
3443555,1727106477.60,-434.45,-446.10,-185.46,
3443955,1727106478.00,-374.45,-389.18,-201.32,
3444382,1727106478.40,-294.65,-304.28,-190.08,
3444756,1727106478.80,-252.06,-231.35,-176.83,
3445158,1727106479.20,-227.30,-202.25,-163.88,
3445556,1727106479.60,-255.42,-192.47,-156.65,
3445957,1727106480.00,-339.20,-197.16,-160.29,
3446360,1727106480.40,-307.12,-163.83,-170.60,
3446757,1727106480.80,-169.76,-133.47,-180.51,
3447158,1727106481.20,23.53,-39.70,-196.84,
3447557,1727106481.60,-30.08,-79.24,-199.85,
3447955,1727106482.00,33.29,-25.31,-193.67,
3448357,1727106482.40,45.31,2.48,-148.71,
3448756,1727106482.80,15.96,25.82,-123.47,
3449156,1727106483.20,46.19,62.13,-111.72,
3449556,1727106483.60,-34.58,8.03,-86.76,
3449955,1727106484.00,-122.94,-17.25,-65.01,
3450356,1727106484.40,-136.59,-52.70,-56.02,
3450756,1727106484.80,-221.10,-111.45,-68.10,
3451156,1727106485.20,-98.35,-5.08,-82.42,
3451556,1727106485.60,-126.30,-16.85,-62.33,
3451957,1727106486.00,-259.88,-89.90,-55.21,
3452356,1727106486.40,-305.01,-111.09,-50.47,
3452757,1727106486.80,-199.92,-89.97,-50.35,
3453158,1727106487.20,-27.97,-2.04,-41.31,
3453557,1727106487.60,-55.14,5.47,-18.96,
3453957,1727106488.00,-96.37,-51.52,-3.35,
3454358,1727106488.40,-3.77,-26.55,-3.26,
3454759,1727106488.80,102.32,30.71,0.51,
3455159,1727106489.20,295.69,145.83,7.18,
3455558,1727106489.60,424.26,221.73,17.85,
3455958,1727106490.00,352.95,182.18,27.03,
3456358,1727106490.40,385.28,183.02,42.87,
3456758,1727106490.80,486.21,249.15,66.36,
3457159,1727106491.20,626.07,316.84,85.59,
3457559,1727106491.60,531.53,267.81,116.99,
3457958,1727106492.00,460.39,241.22,143.93,
3458359,1727106492.40,487.54,249.89,145.10,
3458758,1727106492.80,526.15,286.36,155.76,
3459158,1727106493.20,375.77,211.71,154.82,
3459558,1727106493.60,234.66,132.39,132.76,
3459959,1727106494.00,299.31,199.18,97.59,
3460359,1727106494.40,383.22,232.22,68.60,
3460759,1727106494.80,191.55,138.86,56.66,
3461159,1727106495.20,163.29,143.42,29.95,
3461558,1727106495.60,200.22,177.04,15.12,
3461959,1727106496.00,105.04,133.79,8.29,
3462359,1727106496.40,37.06,128.78,2.61,
3462759,1727106496.80,-73.98,55.14,-0.27,
3463158,1727106497.20,45.54,126.30,-9.82,
3463560,1727106497.60,84.48,146.52,-28.10,
3463960,1727106498.00,-137.96,42.98,-15.46,
3464385,1727106498.40,-225.62,6.71,-18.51,
3464760,1727106498.80,-280.89,-57.13,-41.24,
3465160,1727106499.20,-348.06,-124.72,-71.20,
3465560,1727106499.60,-566.81,-226.84,-99.98,
3465959,1727106500.00,-614.00,-239.82,-126.21,
3466359,1727106500.40,-1151.84,-541.80,-166.65,
3466760,1727106500.80,-1558.04,-772.57,-213.84,
3467160,1727106501.20,-1663.75,-841.06,-262.45,
3467559,1727106501.60,-1603.32,-826.81,-337.62,
3467968,1727106502.00,-1080.51,-563.83,-400.71,
3468359,1727106502.40,-864.65,-484.98,-449.50,
3468760,1727106502.80,-610.17,-324.03,-454.72,
3469160,1727106503.20,-275.26,-149.18,-445.61,
3469559,1727106503.60,-328.09,-163.99,-427.16,
3469960,1727106504.00,-441.40,-231.84,-392.84,
3470360,1727106504.40,-193.14,-126.67,-365.48,
3470760,1727106504.80,-143.85,-96.39,-325.73,
3471160,1727106505.20,-58.76,-46.03,-286.09,
3471562,1727106505.60,27.87,19.68,-241.39,
3471962,1727106506.00,114.33,64.31,-187.68,
3472361,1727106506.40,368.93,188.65,-139.90,
3472766,1727106506.80,491.98,227.67,-76.02,
3473164,1727106507.20,688.99,311.73,-15.42,
3473561,1727106507.60,811.01,363.76,63.87,
3473962,1727106508.00,946.42,455.70,134.29,
3474362,1727106508.40,1115.54,560.25,208.65,
3474761,1727106508.80,1124.52,572.86,280.09,
3475163,1727106509.20,1042.00,543.85,340.34,
3475562,1727106509.60,860.67,466.22,381.13,
3475962,1727106510.00,864.74,480.24,396.19,
3476362,1727106510.40,871.49,501.58,402.42,
3476762,1727106510.80,957.73,544.64,395.66,
3477162,1727106511.20,974.10,570.37,402.34,
3477562,1727106511.60,815.63,450.34,411.17,
3477962,1727106512.00,793.46,377.94,403.17,
3478363,1727106512.40,748.46,344.65,393.89,
3478762,1727106512.80,711.71,310.67,368.97,
3479162,1727106513.20,667.78,260.23,345.86,
3479562,1727106513.60,591.96,197.16,337.64,
3479961,1727106514.00,490.18,108.81,313.36,
3480363,1727106514.40,395.60,16.93,295.94,
3480762,1727106514.80,282.03,-42.04,276.79,
3481162,1727106515.20,154.91,-90.44,256.23,
3481564,1727106515.60,123.64,-113.29,241.73,
3481962,1727106516.00,77.33,-131.23,230.19,
3482363,1727106516.40,-6.43,-160.89,236.08,
3482763,1727106516.80,-53.54,-167.07,241.99,
3483164,1727106517.20,-148.29,-203.32,235.74,
3483564,1727106517.60,-215.02,-196.63,225.69,
3483967,1727106518.00,-257.01,-188.53,209.69,
3484392,1727106518.40,-344.38,-212.38,185.25,
3484766,1727106518.80,-399.97,-228.07,155.95,
3485165,1727106519.20,-455.46,-269.71,123.01,
3485565,1727106519.60,-521.84,-297.91,79.46,
3485964,1727106520.00,-555.75,-330.45,47.72,
3486367,1727106520.40,-536.43,-333.18,30.36,
3486767,1727106520.80,-592.27,-343.69,5.91,
3487165,1727106521.20,-576.05,-327.57,-6.90,
3487565,1727106521.60,-644.74,-339.12,-9.38,
3487966,1727106522.00,-701.51,-339.04,-9.93,
3488365,1727106522.40,-733.24,-312.15,-34.11,
3488765,1727106522.80,-769.15,-330.87,-57.19,
3489166,1727106523.20,-780.69,-351.26,-99.54,
3489566,1727106523.60,-758.82,-339.80,-135.92,
3489966,1727106524.00,-695.21,-301.58,-163.13,
3490365,1727106524.40,-677.94,-259.15,-177.89,
3490766,1727106524.80,-473.70,-180.67,-198.33,
3491166,1727106525.20,-267.83,-140.67,-196.83,
