millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
279309,1727103314.00,1724.93,-306.73,128.55,
279709,1727103314.40,524.03,-92.28,135.79,
280111,1727103314.80,-951.52,176.64,118.75,
280512,1727103315.20,-828.67,135.56,64.54,
280912,1727103315.60,-1485.79,244.17,33.42,
281314,1727103316.00,-1032.28,188.54,-6.29,
281712,1727103316.40,-771.61,150.35,-47.58,
282110,1727103316.80,-2100.04,375.05,-104.40,
282911,1727103317.20,-20.13,-3.65,-140.16,V
282911,1727103317.60,1687.06,-314.09,-153.61,V
283312,1727103318.00,3038.11,-562.94,-139.73,
283738,1727103318.40,4025.94,-723.42,-95.96,
284110,1727103318.80,4565.17,-824.82,-67.44,
284511,1727103319.20,4255.41,-762.11,-42.69,
284910,1727103319.60,4681.22,-812.97,-33.90,
285311,1727103320.00,5458.72,-970.54,-9.44,
285710,1727103320.40,4985.32,-894.36,70.03,
286110,1727103320.80,5361.27,-962.57,90.86,
286512,1727103321.20,4158.91,-730.73,91.84,
286911,1727103321.60,5893.75,-1053.80,95.53,
287310,1727103322.00,6343.22,-1135.88,133.38,
287711,1727103322.40,8300.66,-1484.94,183.35,
288118,1727103322.80,8604.42,-1525.30,238.15,
288513,1727103323.20,8546.18,-1513.12,238.12,
288912,1727103323.60,8524.67,-1505.61,259.03,
289315,1727103324.00,8176.61,-1450.18,267.28,
289713,1727103324.40,7323.08,-1321.76,274.64,
290113,1727103324.80,7209.32,-1300.31,295.87,
290512,1727103325.20,6640.96,-1197.16,267.41,
290912,1727103325.60,5429.99,-995.10,230.53,
291312,1727103326.00,3992.00,-732.71,200.68,
291712,1727103326.40,2497.03,-490.76,174.91,
292111,1727103326.80,1136.38,-252.57,140.98,
292513,1727103327.20,167.85,-71.15,95.55,
292913,1727103327.60,-1127.53,145.13,55.88,
293312,1727103328.00,-2674.99,418.65,6.28,
293711,1727103328.40,-3737.64,617.42,-45.92,
294111,1727103328.80,-4914.69,834.37,-79.51,
294510,1727103329.20,-6116.65,1044.10,-96.59,
294911,1727103329.60,-7256.80,1243.93,-120.62,
295311,1727103330.00,-8134.55,1413.74,-141.63,
295712,1727103330.40,-9064.87,1587.75,-198.13,
296112,1727103330.80,-9641.55,1709.91,-214.68,
296513,1727103331.20,-10187.69,1803.13,-220.11,
296911,1727103331.60,-10463.97,1886.19,-223.44,
297312,1727103332.00,-10728.41,1940.21,-234.61,
297715,1727103332.40,-10794.04,1983.55,-247.11,
298113,1727103332.80,-10921.20,2015.83,-252.97,
298512,1727103333.20,-11068.17,2052.01,-264.70,
298916,1727103333.60,-11724.96,2170.00,-248.37,
299312,1727103334.00,-11828.06,2183.62,-239.96,
299714,1727103334.40,-11310.49,2126.19,-237.74,
300114,1727103334.80,-11626.98,2191.24,-225.91,
300515,1727103335.20,-11013.76,2086.11,-193.78,
300914,1727103335.60,-10974.72,2073.98,-179.72,
301314,1727103336.00,-10775.46,2034.94,-147.99,
301715,1727103336.40,-9948.21,1871.60,-118.60,
302115,1727103336.80,-9273.03,1757.96,-103.13,
302515,1727103337.20,-8428.07,1617.16,-91.79,
302914,1727103337.60,-7461.63,1438.34,-86.50,
303315,1727103338.00,-6637.60,1295.07,-77.96,
303743,1727103338.40,-5367.30,1082.19,-56.08,
304119,1727103338.80,-4001.99,814.48,-12.22,
304515,1727103339.20,-3140.63,655.44,21.63,
304913,1727103339.60,-2127.86,469.51,19.95,
305312,1727103340.00,-1412.26,329.31,27.40,
305711,1727103340.40,-324.01,128.74,13.45,
306111,1727103340.80,810.34,-101.33,15.74,
306512,1727103341.20,1989.09,-335.24,15.86,
306912,1727103341.60,2500.50,-451.88,43.78,
307311,1727103342.00,3479.75,-620.99,54.07,
307715,1727103342.40,4552.25,-829.82,51.79,
308112,1727103342.80,4692.79,-884.71,47.51,
308514,1727103343.20,4909.19,-930.20,54.21,
308917,1727103343.60,5128.10,-999.17,55.27,
309314,1727103344.00,6509.97,-1249.62,74.98,
309716,1727103344.40,7177.44,-1376.83,71.65,
310114,1727103344.80,7805.25,-1483.78,64.17,
310513,1727103345.20,7397.84,-1423.58,65.97,
310915,1727103345.60,7827.89,-1507.41,51.00,
311314,1727103346.00,7117.15,-1376.51,32.70,
311714,1727103346.40,7834.69,-1518.24,21.94,
312113,1727103346.80,7577.25,-1479.98,29.97,
312513,1727103347.20,7701.18,-1508.49,23.39,
312914,1727103347.60,7610.74,-1507.88,26.69,
313314,1727103348.00,7315.13,-1450.08,39.62,
313716,1727103348.40,6786.80,-1344.18,52.84,
314115,1727103348.80,6468.34,-1283.46,41.82,
314516,1727103349.20,6696.91,-1323.92,23.19,
314915,1727103349.60,6356.23,-1263.33,22.98,
315316,1727103350.00,5346.24,-1070.39,24.12,
315715,1727103350.40,5559.16,-1102.83,16.49,
316116,1727103350.80,4642.15,-920.53,16.28,
316516,1727103351.20,4720.19,-929.60,8.61,
316915,1727103351.60,4734.94,-926.08,20.17,
317316,1727103352.00,4821.87,-911.11,14.72,
317715,1727103352.40,4394.27,-803.58,13.61,
318115,1727103352.80,3726.62,-688.88,11.54,
318516,1727103353.20,3096.66,-568.73,15.89,
318916,1727103353.60,2320.39,-413.48,4.75,
319317,1727103354.00,1767.30,-314.69,5.56,
319717,1727103354.40,1951.23,-328.59,-10.87,
320117,1727103354.80,1851.80,-299.49,-10.35,
320517,1727103355.20,1732.83,-268.78,-11.42,
320917,1727103355.60,1818.86,-269.74,-19.96,
321317,1727103356.00,1551.67,-229.14,-23.53,
321718,1727103356.40,1121.48,-155.34,7.39,
322118,1727103356.80,787.52,-71.91,7.24,
322518,1727103357.20,627.39,-49.01,8.11,
322918,1727103357.60,593.44,-24.58,32.12,
323318,1727103358.00,513.45,1.06,37.51,
323745,1727103358.40,513.10,11.48,57.33,
324119,1727103358.80,456.43,26.00,79.28,
324522,1727103359.20,286.58,43.91,112.22,
324920,1727103359.60,196.50,47.58,132.57,
325319,1727103360.00,117.71,74.10,122.55,
326117,1727103360.40,-8297.33,1473.54,101.61,V
326118,1727103360.80,-14904.68,2570.84,98.13,V
326518,1727103361.20,-17200.35,2953.44,95.17,
326918,1727103361.60,-18001.95,3080.68,86.28,
327319,1727103362.00,-16959.44,2897.91,78.04,
327718,1727103362.40,-15353.70,2630.70,48.02,
328119,1727103362.80,-13281.46,2265.36,24.30,
328518,1727103363.20,-11121.01,1890.77,24.85,
328920,1727103363.60,-8825.22,1481.44,34.93,
329318,1727103364.00,-6231.37,1049.40,30.93,
329717,1727103364.40,-3873.63,656.28,-2.25,
330118,1727103364.80,-1483.09,251.97,-31.33,
330516,1727103365.20,495.13,-88.53,-33.29,
330917,1727103365.60,2497.43,-436.44,-33.09,
331318,1727103366.00,4622.82,-783.88,-40.99,
331719,1727103366.40,6431.09,-1089.16,-37.32,
332118,1727103366.80,7574.11,-1288.01,-25.32,
332518,1727103367.20,8886.73,-1511.32,-12.25,
332918,1727103367.60,9707.29,-1631.69,-13.80,
333319,1727103368.00,10210.20,-1732.12,-19.91,
333719,1727103368.40,10566.81,-1778.37,-1.83,
334119,1727103368.80,10797.74,-1827.97,-12.13,
334519,1727103369.20,11053.61,-1860.72,1.50,
334919,1727103369.60,11283.13,-1908.89,16.12,
335319,1727103370.00,11351.90,-1916.55,7.93,
335721,1727103370.40,11182.65,-1905.75,20.93,
336119,1727103370.80,10965.66,-1860.50,30.02,
336520,1727103371.20,10410.14,-1768.69,13.37,
336920,1727103371.60,9919.49,-1705.66,13.02,
337321,1727103372.00,9316.45,-1597.14,20.34,
337721,1727103372.40,8607.26,-1468.62,5.90,
338120,1727103372.80,7812.26,-1341.06,1.07,
338520,1727103373.20,6988.71,-1180.45,-23.69,
338921,1727103373.60,6277.72,-1061.32,-48.70,
339321,1727103374.00,5527.11,-958.68,-52.80,
339722,1727103374.40,4589.63,-803.09,-66.82,
340121,1727103374.80,3576.49,-622.37,-74.12,
340524,1727103375.20,2513.57,-424.39,-59.71,
340921,1727103375.60,1581.27,-264.31,-53.16,
341323,1727103376.00,503.53,-70.51,-48.53,
341721,1727103376.40,-439.60,81.23,-41.01,
342122,1727103376.80,-1180.65,213.92,-49.16,
342521,1727103377.20,-1866.18,345.34,-54.46,
342922,1727103377.60,-2574.61,473.49,-62.64,
343323,1727103378.00,-3354.71,612.73,-67.53,
343749,1727103378.40,-4084.71,758.93,-53.50,
344124,1727103378.80,-4601.59,857.45,-41.49,
344524,1727103379.20,-5118.72,948.43,-37.55,
344925,1727103379.60,-5610.54,1047.08,-56.20,
345323,1727103380.00,-6094.58,1116.97,-49.58,
345724,1727103380.40,-6479.58,1177.62,-37.95,
346123,1727103380.80,-6890.23,1261.73,-35.90,
346523,1727103381.20,-7281.22,1328.70,-21.84,
346923,1727103381.60,-7457.57,1346.20,-13.60,
347323,1727103382.00,-7635.08,1371.48,-11.05,
347723,1727103382.40,-7761.86,1401.91,-14.00,
348121,1727103382.80,-7824.54,1400.33,1.11,
348526,1727103383.20,-7917.87,1405.47,5.35,
348922,1727103383.60,-8077.35,1430.30,-2.77,
349323,1727103384.00,-8105.15,1435.54,22.29,
349726,1727103384.40,-8070.20,1423.11,34.98,
350122,1727103384.80,-7842.85,1377.89,26.73,
350522,1727103385.20,-7468.85,1322.39,9.88,
350923,1727103385.60,-7027.46,1241.85,-4.58,
351324,1727103386.00,-6558.00,1157.17,-35.55,
351723,1727103386.40,-6091.14,1069.17,-49.56,
352123,1727103386.80,-5641.06,961.68,-47.80,
352523,1727103387.20,-5164.57,873.17,-44.07,
352923,1727103387.60,-4695.06,783.24,-31.60,
353324,1727103388.00,-4153.21,692.61,-20.37,
353723,1727103388.40,-3623.14,585.00,-31.76,
354124,1727103388.80,-3133.29,481.79,-23.45,
354523,1727103389.20,-2639.10,383.16,2.34,
354930,1727103389.60,-2093.87,289.27,51.44,
355325,1727103390.00,-1565.53,184.19,65.43,
355726,1727103390.40,-991.74,70.69,74.14,
356125,1727103390.80,-520.84,-30.78,105.16,
356528,1727103391.20,-125.45,-87.88,104.12,
356926,1727103391.60,309.54,-190.80,104.98,
357327,1727103392.00,703.38,-263.29,135.79,
357727,1727103392.40,1030.95,-293.02,105.77,
358126,1727103392.80,1287.33,-320.96,54.27,
358527,1727103393.20,1534.93,-346.91,-17.92,
358928,1727103393.60,1836.05,-403.77,-57.79,
359326,1727103394.00,2134.50,-451.03,-36.87,
359727,1727103394.40,2476.78,-522.46,-39.99,
360127,1727103394.80,2701.21,-545.29,-19.38,
360528,1727103395.20,2930.43,-594.44,-2.48,
360928,1727103395.60,3169.26,-630.11,0.35,
361328,1727103396.00,3356.60,-653.67,10.62,
361727,1727103396.40,3495.93,-698.57,56.99,
362128,1727103396.80,3563.88,-710.68,77.63,
362528,1727103397.20,3583.22,-695.48,76.19,
362927,1727103397.60,3624.85,-690.10,73.04,
363327,1727103398.00,3680.60,-675.84,37.20,
363754,1727103398.40,3636.99,-670.03,-6.29,
364127,1727103398.80,3510.50,-638.13,3.07,
364529,1727103399.20,3420.67,-601.24,-10.63,
364928,1727103399.60,3239.97,-560.36,-1.44,
365328,1727103400.00,3065.71,-532.45,-8.06,
365727,1727103400.40,2830.19,-498.69,-3.10,
366129,1727103400.80,2559.26,-444.15,41.43,
366528,1727103401.20,2328.25,-389.51,80.91,
366926,1727103401.60,2157.63,-367.51,92.13,
367328,1727103402.00,1916.97,-307.17,83.89,
367730,1727103402.40,1700.93,-265.11,55.60,
368129,1727103402.80,1507.36,-222.01,35.84,
368528,1727103403.20,1267.20,-178.54,17.00,
368929,1727103403.60,1031.80,-135.30,-17.74,
369331,1727103404.00,829.08,-108.90,-15.36,
369730,1727103404.40,550.52,-48.00,-10.08,
370131,1727103404.80,320.18,7.34,-27.64,
370533,1727103405.20,106.34,41.12,-39.91,
370930,1727103405.60,-116.50,89.17,-34.23,
371329,1727103406.00,-303.06,115.51,-47.35,
371729,1727103406.40,-444.33,139.98,-46.62,
372128,1727103406.80,-611.56,194.55,-66.94,
372529,1727103407.20,-703.84,207.63,-92.92,
372929,1727103407.60,-839.14,235.27,-83.45,
373331,1727103408.00,-926.83,241.63,-119.83,
373729,1727103408.40,-972.86,246.64,-121.46,
374129,1727103408.80,-1049.77,266.32,-129.88,
374529,1727103409.20,-1122.88,280.97,-135.33,
374929,1727103409.60,-1163.42,290.96,-149.72,
375328,1727103410.00,-1189.11,280.59,-160.92,
375729,1727103410.40,-1188.48,285.92,-162.82,
376129,1727103410.80,-1138.50,271.21,-150.71,
376529,1727103411.20,-1139.75,272.56,-146.15,
376928,1727103411.60,-1168.10,286.38,-161.79,
377329,1727103412.00,-1085.52,261.25,-169.78,
377732,1727103412.40,-1031.32,237.21,-137.22,
378130,1727103412.80,-973.62,230.29,-117.25,
378530,1727103413.20,-886.99,204.69,-87.02,
378930,1727103413.60,-803.54,180.42,-76.69,
379329,1727103414.00,-774.93,173.50,-57.34,
379730,1727103414.40,-737.81,164.25,-4.18,
380128,1727103414.80,-667.43,153.01,43.77,
380529,1727103415.20,-610.00,124.04,58.86,
380929,1727103415.60,-575.51,129.45,64.26,
381329,1727103416.00,-533.08,97.70,82.32,
381729,1727103416.40,-523.40,84.84,114.58,
382129,1727103416.80,-525.66,87.17,117.24,
382529,1727103417.20,-484.46,102.30,116.58,
382930,1727103417.60,-459.97,93.15,106.90,
383329,1727103418.00,-488.53,81.44,118.70,
383755,1727103418.40,-464.89,84.69,130.40,
384129,1727103418.80,-425.54,82.61,136.25,
384532,1727103419.20,-268.72,43.00,131.79,
384930,1727103419.60,-163.97,40.06,130.62,
385330,1727103420.00,-115.79,33.33,121.23,
385730,1727103420.40,-47.12,23.50,115.14,
386129,1727103420.80,76.49,-5.75,103.62,
386532,1727103421.20,175.91,-33.12,96.82,
386929,1727103421.60,241.65,-58.50,87.54,
387330,1727103422.00,278.35,-64.83,78.15,
387730,1727103422.40,331.37,-89.77,77.68,
388132,1727103422.80,396.45,-95.16,81.60,
388532,1727103423.20,482.32,-118.71,77.20,
388932,1727103423.60,570.36,-155.39,77.72,
389333,1727103424.00,683.92,-169.58,88.31,
389732,1727103424.40,736.40,-164.40,87.83,
390131,1727103424.80,738.19,-160.67,89.96,
390533,1727103425.20,816.64,-158.05,88.63,
390933,1727103425.60,862.08,-173.23,102.25,
391331,1727103426.00,892.60,-135.19,74.67,
391732,1727103426.40,922.97,-155.25,18.07,
392132,1727103426.80,898.80,-138.23,-24.04,
392532,1727103427.20,882.19,-124.77,-68.85,
392931,1727103427.60,924.53,-179.57,-66.55,
393331,1727103428.00,853.90,-173.36,-25.59,
393730,1727103428.40,811.00,-167.32,-67.10,
394131,1727103428.80,816.99,-194.41,-88.01,
394531,1727103429.20,821.56,-214.18,-67.73,
394932,1727103429.60,822.82,-227.39,-57.69,
395331,1727103430.00,859.49,-266.91,-36.37,
395731,1727103430.40,923.33,-294.15,-22.49,
396132,1727103430.80,1045.48,-343.61,-22.03,
396533,1727103431.20,1091.27,-359.27,-3.72,
396932,1727103431.60,1060.57,-380.92,-12.62,
397332,1727103432.00,994.16,-372.34,27.45,
397735,1727103432.40,963.14,-356.09,53.16,
398134,1727103432.80,842.28,-333.42,59.56,
398533,1727103433.20,715.56,-305.49,52.01,
398933,1727103433.60,624.65,-257.30,60.16,
399334,1727103434.00,470.90,-225.54,35.91,
399735,1727103434.40,334.93,-191.06,42.42,
400133,1727103434.80,240.95,-154.69,36.72,
400533,1727103435.20,50.34,-101.09,23.05,
400934,1727103435.60,-43.74,-66.65,-3.05,
401335,1727103436.00,-163.51,-31.93,-35.03,
401733,1727103436.40,-223.10,2.53,-42.44,
402134,1727103436.80,-364.83,36.23,-42.48,
402533,1727103437.20,-451.54,68.76,-36.59,
402933,1727103437.60,-544.98,99.77,-48.39,
403333,1727103438.00,-680.93,145.04,-62.47,
403760,1727103438.40,-794.95,184.68,-55.68,
404132,1727103438.80,-809.72,218.89,-42.98,
404535,1727103439.20,-874.36,247.89,-37.39,
404934,1727103439.60,-990.25,288.00,-11.66,
405334,1727103440.00,-1040.10,303.75,-6.10,
405735,1727103440.40,-1125.06,331.50,-7.89,
406133,1727103440.80,-1131.41,335.78,9.48,
406533,1727103441.20,-1176.91,352.95,14.09,
406935,1727103441.60,-1172.71,363.60,-20.25,
407335,1727103442.00,-1154.03,368.36,-58.29,
407733,1727103442.40,-1031.41,351.76,-102.90,
408136,1727103442.80,-957.09,334.00,-100.76,
408536,1727103443.20,-895.76,299.16,-64.63,
408935,1727103443.60,-726.84,267.02,-68.94,
409335,1727103444.00,-669.79,269.54,-74.23,
409735,1727103444.40,-650.72,267.21,-68.47,
410134,1727103444.80,-687.33,260.64,-121.78,
410534,1727103445.20,-687.96,250.39,-143.42,
410935,1727103445.60,-620.09,237.00,-136.30,
411333,1727103446.00,-628.04,220.98,-130.18,
411735,1727103446.40,-603.37,202.79,-105.14,
412136,1727103446.80,-618.00,198.95,-106.38,
412536,1727103447.20,-517.80,190.24,-110.60,
412934,1727103447.60,-562.44,177.43,-116.04,
413334,1727103448.00,-537.84,177.31,-99.78,
413734,1727103448.40,-574.99,154.83,-85.94,
414135,1727103448.80,-529.07,146.70,-30.36,
414535,1727103449.20,-454.69,101.64,2.21,
414936,1727103449.60,-436.52,91.98,20.17,
415337,1727103450.00,-318.73,78.44,19.81,
415735,1727103450.40,-214.55,29.63,3.02,
416135,1727103450.80,-83.27,1.62,35.12,
416535,1727103451.20,-10.05,-9.29,47.68,
416935,1727103451.60,106.87,-22.49,4.07,
417335,1727103452.00,269.33,-53.47,-69.30,
417735,1727103452.40,373.97,-65.99,-64.73,
418137,1727103452.80,508.76,-95.67,-38.72,
418536,1727103453.20,652.23,-122.43,0.47,
418938,1727103453.60,759.06,-130.18,52.16,
419337,1727103454.00,860.54,-154.66,93.99,
419737,1727103454.40,967.36,-175.89,104.64,
420136,1727103454.80,1101.23,-193.96,137.32,
420537,1727103455.20,1123.24,-208.96,168.96,
420938,1727103455.60,1092.28,-221.01,188.20,
421337,1727103456.00,1136.25,-246.34,209.36,
421737,1727103456.40,1197.81,-265.44,229.56,
422138,1727103456.80,1245.67,-278.86,239.33,
422537,1727103457.20,1214.67,-287.13,223.21,
422937,1727103457.60,1209.73,-290.75,219.43,
423337,1727103458.00,1185.69,-290.20,202.07,
423762,1727103458.40,1131.74,-285.97,180.12,
424136,1727103458.80,988.91,-278.47,151.10,
424537,1727103459.20,906.79,-268.15,146.26,
424936,1727103459.60,872.74,-255.39,123.13,
425339,1727103460.00,746.01,-224.49,78.43,
425737,1727103460.40,612.46,-179.35,28.84,
426137,1727103460.80,500.11,-155.62,-11.23,
426538,1727103461.20,328.35,-133.22,-14.27,
426937,1727103461.60,137.69,-112.12,-4.57,
427338,1727103462.00,-25.35,-92.28,28.49,
427738,1727103462.40,-202.46,-40.61,24.06,
428139,1727103462.80,-479.24,2.54,2.96,
428538,1727103463.20,-684.98,38.03,-19.50,
428939,1727103463.60,-724.25,49.65,-26.54,
429339,1727103464.00,-838.49,75.85,-28.24,
429738,1727103464.40,-904.06,96.17,-40.85,
430139,1727103464.80,-902.27,94.28,-75.35,
430538,1727103465.20,-884.74,75.45,-81.95,
430938,1727103465.60,-853.85,92.53,-84.74,
431339,1727103466.00,-825.22,71.84,-94.19,
431739,1727103466.40,-745.18,70.40,-78.31,
432140,1727103466.80,-781.87,68.27,-67.42,
432541,1727103467.20,-700.26,65.59,-68.76,
432939,1727103467.60,-629.95,79.45,-75.34,
433339,1727103468.00,-595.13,89.22,-77.88,
433739,1727103468.40,-470.58,78.42,-77.95,
434139,1727103468.80,-459.15,85.24,-75.05,
434539,1727103469.20,-393.96,71.99,-60.83,
434939,1727103469.60,-339.05,76.79,-94.06,
435341,1727103470.00,-252.64,61.92,-99.30,
435742,1727103470.40,-182.44,48.50,-110.45,
436140,1727103470.80,-112.84,53.44,-115.24,
436542,1727103471.20,-58.21,55.95,-121.81,
436940,1727103471.60,23.80,56.39,-123.26,
437340,1727103472.00,60.12,55.08,-121.27,
437740,1727103472.40,124.43,52.31,-120.87,
438143,1727103472.80,236.68,31.38,-109.03,
438542,1727103473.20,305.37,13.25,-75.60,
438940,1727103473.60,351.77,14.72,-68.32,
439342,1727103474.00,443.36,-2.13,-59.69,
439741,1727103474.40,491.08,-16.33,-29.48,
440141,1727103474.80,541.38,-11.12,3.15,
440541,1727103475.20,618.02,-24.39,6.71,
440941,1727103475.60,595.43,-18.22,14.60,
441341,1727103476.00,584.14,-13.55,9.72,
441742,1727103476.40,660.94,-43.24,9.04,
442142,1727103476.80,713.80,-50.64,-10.57,
442540,1727103477.20,731.92,-72.11,-30.61,
442941,1727103477.60,655.52,-55.15,-37.97,
443342,1727103478.00,674.62,-73.79,-15.26,
443767,1727103478.40,690.22,-87.40,-9.95,
444142,1727103478.80,661.34,-80.48,-20.45,
444545,1727103479.20,610.62,-89.27,-18.30,
444942,1727103479.60,567.42,-78.16,-0.63,
445343,1727103480.00,556.94,-83.38,22.01,
445746,1727103480.40,-5.42,13.86,35.67,
446143,1727103480.80,-368.67,92.02,48.97,
446543,1727103481.20,-314.99,69.99,34.87,
446943,1727103481.60,-204.09,51.15,37.51,
447342,1727103482.00,-88.02,19.12,10.61,
447741,1727103482.40,42.13,-22.81,4.41,
448143,1727103482.80,35.75,-23.50,30.15,
448545,1727103483.20,38.60,-39.29,57.73,
448944,1727103483.60,9.16,-17.63,65.59,
449344,1727103484.00,19.46,-16.41,74.40,
